Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
255151670,A Practical Guide to Evil I,David Verburg,,,,"=""9798349103513""",0,,Dreamscape Lore,Audible Audio,,2025,,2026/05/20,2026/05/20,,,read,,,,1,0
122900435,Calla Falling,Tallie Rose,,,,,0,,Tallie Rose,Audible Audio,,2023,,2026/05/21,2026/05/21,,,read,,,,1,0
231127349,Hell's Heart,Alexis Hall,,,"=""1250411629""","=""9781250411624""",0,,Macmillan Audio,Audible Audio,,2026,,2026/05/23,2026/05/23,,,read,,,,1,0
245907272,Sweetbitter Song,Rosie Hewlett,,,,"=""9798899745898""",0,,Recorded Books,Audible Audio,,2026,,2026/05/25,2026/05/25,,,read,,,,1,0
218569925,The Original,Nell Stevens,,,,"=""9798228487291""",0,,Blackstone Publishing,Audible Audio,,2025,,2026/05/27,2026/05/27,,,read,,,,1,0
245766573,The Duke,Anna Cowan,,,"=""1250415888""","=""9781250415882""",0,,Macmillan Audio,Audible Audio,,2026,,2026/05/27,2026/05/27,,,read,,,,1,0
240202472,Dead Weight,Hildur Knútsdóttir,,Mary Robinette Kowal - translator,"=""125044697X""","=""9781250446978""",0,,Macmillan Audio,Audible Audio,,2026,,2026/05/28,2026/05/28,,,read,,,,1,0
251704454,Funeral Song,Carly Racklin,,,"=""1639512608""","=""9781639512607""",0,,Dead Sky Publishing,Audible Audio,,2026,,2026/05/29,2026/05/29,,,read,,,,1,0
250352771,Homebound,Portia Elan,,,"=""1668138921""","=""9781668138922""",0,,Simon & Schuster Audio,Audible Audio,,2026,,2026/06/01,2026/06/01,,,read,,,,1,0
228022844,Audition for the Fox,Martin Cahill,,,,"=""9798899732768""",0,,Recorded Books,Audible Audio,,2025,,2026/06/03,2026/06/03,,,read,,,,1,0
222914654,Learning Curves,Rachel Lacey,,,"=""1511353732""","=""9781511353731""",0,,Brilliance Audio,Audible Audio,,2025,,2026/06/04,2026/06/04,,,read,,,,1,0
241842704,Magical Girl Mechanical Heart: Volume 1,Natalie Maher,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2025,,2026/06/07,2026/06/07,,,read,,,,1,0
252438143,Maybe Tomorrow I'll Know,Alex Ritany,,,,"=""9798349163609""",0,,Dreamscape Media,Audible Audio,,2026,,2026/06/08,2026/06/08,,,read,,,,1,0
252443021,"Save Scumming, Book 1",RavensDagger,,,,,0,,Soundbooth Theater,Audible Audio,,2026,,2026/06/09,2026/06/09,,,read,,,,1,0
247802999,Couriers Outbound,Pirateaba,,,,"=""9798895391365""",0,,Podium Audio,Audible Audio,,2026,,2026/06/13,2026/06/13,,,read,,,,1,0
251654080,Bone of My Bone,Johanna van Veen,,,,"=""9798331906641""",0,,Tantor Media,Audible Audio,,2026,,2026/06/13,2026/06/13,,,read,,,,1,0
,Inkpot Gods,Seanan McGuire,,,,,0,,Audible Studios,Audible Audio,,2026,,2026/06/15,2026/06/15,,,read,,,,1,0
246496912,Body Count,Codie Crowley,,,,"=""9798891781764""",0,,Recorded Books,Audible Audio,,2026,,2026/06/17,2026/06/17,,,read,,,,1,0
228700194,They Bloom at Night,Trang Thanh Tran,,,"=""1547615990""","=""9781547615995""",0,,Bloomsbury YA,Audible Audio,,2025,,2026/06/21,2026/06/21,,,read,,,,1,0
236602075,Bunny Girl Evolution 1,Sir Bedivere the Mad,,,,,0,,Soundbooth Theater,Audible Audio,,2025,,2026/06/22,2026/06/22,,,read,,,,1,0
249821498,Bunny Girl Evolution 2,Sir Bedivere the Mad,,,,,0,,Soundbooth Theater,Audible Audio,,2026,,2026/06/23,2026/06/23,,,read,,,,1,0
254135963,"Magical Girl Mechanical Heart, Volume 2",Natalie Maher,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2026,,2026/06/24,2026/06/24,,,read,,,,1,0
252343071,The Primal Hunter 14,Zogarth,,,,,0,,Aethon Audio,Audible Audio,,2026,,2026/06/25,2026/06/25,,,read,,,,1,0
58959871,Hench,Natalie Zina Walschots,,,"=""0062978608""","=""9780062978608""",0,,William Morrow,Audible Audio,,2020,,2026/06/26,2026/06/26,,,read,,,,1,0
228430348,Villain,Natalie Zina Walschots,,,"=""0063236966""","=""9780063236967""",0,,William Morrow,Audible Audio,,2026,,2026/06/27,2026/06/27,,,read,,,,1,0
253034214,Vainglory 3,Plum Parrot,,,,,0,,Aethon Audio,Audible Audio,,2026,,2026/06/28,2026/06/28,,,read,,,,1,0
251808986,Darksight Dare,Lois McMaster Bujold,,,,"=""9798228994164""",0,,Blackstone Publishing,Audible Audio,,2026,,2026/06/28,2026/06/28,,,read,,,,1,0
250368585,Cinnamon Bun Volume 7: A Wholesome LitRPG,RavensDagger,,,"=""1039487238""","=""9781039487239""",0,,Podium Audio,Audible Audio,,2026,,2026/06/29,2026/06/29,,,read,,,,1,0
253651729,The Girl Who Bit Me,Valerie Hunter,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2026,,2026/06/30,2026/06/30,,,read,,,,1,0
245937163,Goddess Alchemy,Rain Harlow,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2025,,2026/07/03,2026/07/03,,,read,,,,1,0
,Andy in the Apocalypse,Plum Parrot,,,,,0,,Aethon Audio,Audible Audio,,2026,,2026/07/04,2026/07/04,,,read,,,,1,0
243688597,Welcome to the Blast,Plum Parrot,,,,"=""9798347014200""",0,,Podium Audio,Audible Audio,,2026,,2026/07/05,2026/07/05,,,read,,,,1,0
