title	author	action	evidence	needed_author	needed_narrator	needed_publisher	needed_country	needed_language	needed_duration_seconds	needed_publish_date	known_publish_year	needed_asin	needed_isbn	hardcover_url	edit_url	cover_file	alternatives
Stray Cat Strut 8: A Cyberpunk LitRPG	RavensDagger	fix_hardcover_metadata	subtitle needs update: Stray Cat Strut, Book 8	RavensDagger	Hollie Jackson, Pavi Proczko	Podium Audio	United States of America (us)	english	60473	2026-08-25	2026	B0GLT6CK5Z	9781039487215	https://hardcover.app/books/stray-cat-strut-8/editions/32763074	https://hardcover.app/editions/32763074/edit	covers/stray-cat-strut-8-a-cyberpunk-litrpg-1f2afa84.jpg	
Bi	Julia Shaw	fix_hardcover_metadata	subtitle needs update: The Hidden Culture, History, and Science of Bisexuality; cover missing	Julia Shaw	Julia Shaw	Recorded Books	United States of America (us)	english	22876	2022-06-28	2022	B0B2KQ2HPT	9781705077559	https://hardcover.app/books/bi-the-hidden-culture-history-and-science-of-bisexuality/editions/33240188	https://hardcover.app/editions/33240188/edit	covers/bi-21aadc6f.jpg	
Green Crime	Julia Shaw	fix_hardcover_metadata	cover missing	Julia Shaw	Julia Shaw	Chelsea Green Publishing	United States of America (us)	english	31579	2025-11-11	2025	B0FW5T4J31	9781645023814	https://hardcover.app/books/green-crime/editions/33240187	https://hardcover.app/editions/33240187/edit	covers/green-crime-23fdcd35.jpg	
Maybe Tomorrow I'll Know	Alex Ritany	fix_hardcover_metadata	cover missing	Alex Ritany	Charli Anne Delores	Dreamscape Media	United States of America (us)	english	35347	2026-04-07	2026	B0GPFK6TXZ	9798349163609	https://hardcover.app/books/maybe-tomorrow-ill-know/editions/33240017	https://hardcover.app/editions/33240017/edit	covers/maybe-tomorrow-i-ll-know-2433e125.jpg	
The Original	Nell Stevens	fix_hardcover_metadata	cover missing; publication date needs update: 2025-07-01; duration needs update: 36444	Nell Stevens	Kristin Atherton, Matthew Spencer	Blackstone Publishing	United States of America (us)	english	36444	2025-07-01	2025	B0F1Z3P3XS	9798228487291	https://hardcover.app/books/the-original-2025/editions/33239343	https://hardcover.app/editions/33239343/edit	covers/the-original-2d098a6e.jpg	
Andy in the Apocalypse	Plum Parrot	fix_hardcover_metadata	cover missing	Plum Parrot	J.S. Arquin	Aethon Audio	United States of America (us)	english	62844	2026-04-07	2026	B0GLQTDFKK		https://hardcover.app/books/andy-in-the-apocalypse/editions/32956134	https://hardcover.app/editions/32956134/edit	covers/andy-in-the-apocalypse-3267aaef.jpg	
Audition for the Fox	Martin Cahill	fix_hardcover_metadata	ASIN missing; duration needs update: 15767	Martin Cahill	Martin Cahill	Recorded Books	United States of America (us)	english	15767	2025-09-16	2025	B0FG8FFHP9	9798899732768	https://hardcover.app/books/audition-for-the-fox/editions/32377634	https://hardcover.app/editions/32377634/edit	covers/audition-for-the-fox-374262ab.jpg	
Meet Me in the Garden	Nina LaCour	fix_hardcover_metadata	cover missing	Nina LaCour	Angel Pean	Macmillan Audio	United States of America (us)	english	58976	2026-08-04	2026	B0FP3VKX27	9781250444158	https://hardcover.app/books/meet-me-in-the-garden/editions/33240194	https://hardcover.app/editions/33240194/edit	covers/meet-me-in-the-garden-3743cbb8.jpg	
Darksight Dare	Lois McMaster Bujold	fix_hardcover_metadata	cover missing	Lois McMaster Bujold	Grover Gardner	Blackstone Publishing	United States of America (us)	english	19456	2026-06-02	2026	B0GZHYFMWL	9798228994164	https://hardcover.app/books/darksight-dare/editions/33240110	https://hardcover.app/editions/33240110/edit	covers/darksight-dare-3fa76639.jpg	
Lancer: An Epic Sci-Fi Adventure	T. R. More	fix_hardcover_metadata	cover missing	T. R. More	Kimberly Woods	Podium Audio	United States of America (us)	english	76379	2025-02-04	2025	B0DSGJCL1G	9781039474802	https://hardcover.app/books/lancer-an-epic-sci-fi-adventure/editions/33240195	https://hardcover.app/editions/33240195/edit	covers/lancer-an-epic-sci-fi-adventure-41bb9409.jpg	
Bunny Girl Evolution 2	Sir Bedivere the Mad	fix_hardcover_metadata	cover missing	Sir Bedivere the Mad	Dorrie Sacks, Justin Thomas James, Jeff Hays, Jack Fields, Tess Irondale, Jessica Threet	Soundbooth Theater	United States of America (us)	english	62892	2026-03-31	2026	B0GSXD1GNC		https://hardcover.app/books/bunny-girl-evolution-2/editions/33240100	https://hardcover.app/editions/33240100/edit	covers/bunny-girl-evolution-2-54222ee1.jpg	
Calla Falling	Tallie Rose	fix_hardcover_metadata	cover missing; author needs review; narrator needs review; publisher needs review; country needs review; publication date needs update: 2023-07-07; duration needs update: 23525	Tallie Rose	Rebecca Avery	Tallie Rose	United States of America (us)	english	23525	2023-07-07	2023	B0CBCXQG2T		https://hardcover.app/books/calla-falling/editions/33239225	https://hardcover.app/editions/33239225/edit	covers/calla-falling-60b11d63.jpg	
Funeral Song	Carly Racklin	fix_hardcover_metadata	cover missing; narrator not found: Rosie Cusack	Carly Racklin	Rosie Cusack	Dead Sky Publishing	United States of America (us)	english	13695	2026-05-05	2026	B0GYZLS1FX	9781639512607	https://hardcover.app/books/funeral-song-2026/editions/33239887	https://hardcover.app/editions/33239887/edit	covers/funeral-song-60ff3888.jpg	
The Duke	Anna Cowan	fix_hardcover_metadata	cover missing; narrator not found: Hannah Bristow; publication date needs update: 2026-04-28; duration needs update: 43734	Anna Cowan	Hannah Bristow	Macmillan Audio	United States of America (us)	english	43734	2026-04-28	2026	B0F3KYTZ58	9781250415882	https://hardcover.app/books/the-duke-2026/editions/33239344	https://hardcover.app/editions/33239344/edit	covers/the-duke-617922f8.jpg	
Love, Gods and Sinners	Camille Chong	fix_hardcover_metadata	cover missing; publication date missing	Camille Chong					43683					https://hardcover.app/books/love-gods-and-sinners/editions/33240172	https://hardcover.app/editions/33240172/edit	covers/love-gods-and-sinners-63866b01.jpg	
Goddess Alchemy	Rain Harlow	fix_hardcover_metadata	cover missing	Rain Harlow	Giancarlo Herrera, Hannah Schooner	Royal Guard Publishing LLC	United States of America (us)	english	57889	2025-12-30	2025	B0GD8VLV5P		https://hardcover.app/books/goddess-alchemy/editions/33240121	https://hardcover.app/editions/33240121/edit	covers/goddess-alchemy-6795df4c.jpg	
The Mercy Makers	Tessa Gratton	fix_hardcover_metadata	cover missing	Tessa Gratton	Emily Lawrence	Orbit	United States of America (us)	english	69386	2025-06-17	2025	B0DKGBNRKZ	9781668649916	https://hardcover.app/books/the-mercy-makers/editions/33240173	https://hardcover.app/editions/33240173/edit	covers/the-mercy-makers-6a30d7c7.jpg	
Vainglory 3	Plum Parrot	fix_hardcover_metadata	cover missing	Plum Parrot	Robb Moreira	Aethon Audio	United States of America (us)	english	55607	2026-06-23	2026	B0H3W2X65R		https://hardcover.app/books/vainglory-3-a-litrpg-adventure/editions/33240109	https://hardcover.app/editions/33240109/edit	covers/vainglory-3-6b57f91d.jpg	
Homebound	Portia Elan	fix_hardcover_metadata	ASIN needs update: B0FVYL9B7N; duration needs update: 35754; country missing	Portia Elan	Lisa Flanagan, Helen Laser, Yu-Li Alice Shen, Nancy Wu	Simon & Schuster Audio	United States of America (us)	english	35754	2026-05-05	2026	B0FVYL9B7N	9781668138922	https://hardcover.app/books/homebound-2026/editions/32886468	https://hardcover.app/editions/32886468/edit	covers/homebound-6d83b88f.jpg	
The Memory Illusion	Julia Shaw	fix_hardcover_metadata	subtitle needs update: Why You May Not Be Who You Think You Are	Julia Shaw	Siri Steinmo	Audible Studios	United States of America (us)	english	29246	2016-06-16	2016	B01E9E62P4		https://hardcover.app/books/the-memory-illusion/editions/31435320	https://hardcover.app/editions/31435320/edit	covers/the-memory-illusion-6eda48a5.jpg	
Dead Weight	Hildur Knútsdóttir, Mary Robinette Kowal - translator	fix_hardcover_metadata	duration needs update: 11484	Hildur Knútsdóttir, Mary Robinette Kowal - translator	Mary Robinette Kowal	Macmillan Audio	United States of America (us)	english	11484	2026-05-26	2026	B0FML8D6TY	9781250446978	https://hardcover.app/books/dead-weight-2026/editions/33230051	https://hardcover.app/editions/33230051/edit	covers/dead-weight-71222786.jpg	
Lost Souls and a Demoness 1	N. C. Lux	fix_hardcover_metadata	subtitle needs update: A LitRPG Adventure	N. C. Lux	Rebecca Woods, Daryl Mayfield	Royal Guard Publishing LLC	United States of America (us)	english	56159	2025-04-21	2025	B0F4Z71MY4		https://hardcover.app/books/lost-souls-and-a-demoness-1/editions/32250757	https://hardcover.app/editions/32250757/edit	covers/lost-souls-and-a-demoness-1-76b7bfed.jpg	
Welcome to the Blast: A Cyberpunk Adventure	Plum Parrot	fix_hardcover_metadata	subtitle needs update: Neon Dust, Book 1; cover missing	Plum Parrot	Suzy Jackson, Robb Moreira	Podium Audio	United States of America (us)	english	64026	2026-05-05	2026	B0G1D3NZLJ	9798347014200	https://hardcover.app/books/welcome-to-the-blast/editions/33240123	https://hardcover.app/editions/33240123/edit	covers/welcome-to-the-blast-a-cyberpunk-adventure-7805c67a.jpg	
The Girl Who Bit Me	Valerie Hunter	fix_hardcover_metadata	cover missing	Valerie Hunter	Erin Bateman	Royal Guard Publishing LLC	United States of America (us)	english	49491	2026-06-08	2026	B0H4HQT8RN		https://hardcover.app/books/the-girl-who-bit-me/editions/33240120	https://hardcover.app/editions/33240120/edit	covers/the-girl-who-bit-me-81f50651.jpg	
The Shape of Monsters	Tessa Gratton	fix_hardcover_metadata	cover missing	Tessa Gratton	Emily Lawrence	Orbit	United States of America (us)	english	74285	2026-06-16	2026	B0FY82H2RX	9781668657744	https://hardcover.app/books/the-shape-of-monsters/editions/33240174	https://hardcover.app/editions/33240174/edit	covers/the-shape-of-monsters-83552557.jpg	
