title	author	action	hardcover_url	amazon_url	asin	abs_cover_path	reason
Calla Falling	Tallie Rose	create_audiobook_edition	https://hardcover.app/books/calla-falling/editions	https://www.amazon.com/dp/B0CBCXQG2T	B0CBCXQG2T	/mnt/audiobooks/Tallie Rose/Calla Falling/cover.jpg	matched Hardcover book has no audiobook edition
Hell's Heart	Alexis Hall	create_audiobook_edition	https://hardcover.app/books/hells-heart-2026/editions	https://www.amazon.com/dp/B0F9LSXTBV	B0F9LSXTBV	/mnt/audiobooks/Alexis Hall/Hell's Heart/cover.jpg	matched Hardcover book has no audiobook edition
Sweetbitter Song	Rosie Hewlett	create_audiobook_edition	https://hardcover.app/books/sweetbitter-song/editions	https://www.amazon.com/dp/B0GD2CZZZH	B0GD2CZZZH	/mnt/audiobooks/Rosie Hewlett/Sweetbitter Song/cover.jpg	matched Hardcover book has no audiobook edition
The Original	Nell Stevens	create_audiobook_edition	https://hardcover.app/books/the-original-2025/editions	https://www.amazon.com/dp/B0F1Z3P3XS	B0F1Z3P3XS	/mnt/audiobooks/Nell Stevens/The Original/cover.jpg	matched Hardcover book has no audiobook edition
The Duke	Anna Cowan	create_audiobook_edition	https://hardcover.app/books/the-duke-2026/editions	https://www.amazon.com/dp/B0F3KYTZ58	B0F3KYTZ58	/metadata/items/617922f8-07e9-435b-8ef4-8fb1e244b71d/cover.jpg	matched Hardcover book has no audiobook edition
Funeral Song	Carly Racklin	create_audiobook_edition	https://hardcover.app/books/funeral-song-2026/editions	https://www.amazon.com/dp/B0GYZLS1FX	B0GYZLS1FX	/mnt/audiobooks/Carly Racklin/Funeral Song/cover.jpg	matched Hardcover book has no audiobook edition
Magical Girl Mechanical Heart: Volume 1	Natalie Maher	create_audiobook_edition	https://hardcover.app/books/magical-girl-mechanical-heart/editions	https://www.amazon.com/dp/B0FRPX15HB	B0FRPX15HB	/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart - Volume 1/cover.jpg	matched Hardcover book has no audiobook edition
Maybe Tomorrow I'll Know	Alex Ritany	create_audiobook_edition	https://hardcover.app/books/maybe-tomorrow-ill-know/editions	https://www.amazon.com/dp/B0GPFK6TXZ	B0GPFK6TXZ	/mnt/audiobooks/Alex Ritany/Maybe Tomorrow I'll Know/cover.jpg	matched Hardcover book has no audiobook edition
Couriers Outbound	Pirateaba	use_existing_audiobook	https://hardcover.app/books/couriers-outbound/editions/33002678	https://www.amazon.com/dp/B0GNTGPLSN	B0GNTGPLSN	/metadata/items/90a260a5-bf08-4f14-a6f7-28da06bfcf30/cover.jpg	sole audiobook duration is within 9 seconds of ABS
Inkpot Gods	Seanan McGuire	create_audiobook_edition	https://hardcover.app/books/inkpot-gods/editions	https://www.amazon.com/dp/B0GVTNNDFJ	B0GVTNNDFJ	/metadata/items/d5734ed0-ec7a-4edb-b09b-95355515fe73/cover.jpg	matched Hardcover book has no audiobook edition
Body Count	Codie Crowley	create_audiobook_edition	https://hardcover.app/books/body-count-2026/editions	https://www.amazon.com/dp/B0GQCVY3H5	B0GQCVY3H5	/mnt/audiobooks/Codie Crowley/Body Count/cover.jpg	matched Hardcover book has no audiobook edition
They Bloom at Night	Trang Thanh Tran	use_existing_audiobook	https://hardcover.app/books/they-bloom-at-night/editions/32423225	https://www.amazon.com/dp/B0DWXZX1D6	B0DWXZX1D6	/mnt/audiobooks/Trang Thanh Tran/They Bloom at Night/cover.jpg	sole audiobook duration is within 15 seconds of ABS
Bunny Girl Evolution 2	Sir Bedivere the Mad	create_audiobook_edition	https://hardcover.app/books/bunny-girl-evolution-2/editions	https://www.amazon.com/dp/B0GSXD1GNC	B0GSXD1GNC	/mnt/audiobooks/Sir Bedivere the Mad/Bunny Girl Evolution/Bunny Girl Evolution 2/cover.jpg	matched Hardcover book has no audiobook edition
Magical Girl Mechanical Heart, Volume 2	Natalie Maher	create_audiobook_edition	https://hardcover.app/books/magical-girl-mechanical-heart-volume-2-volume-2/editions	https://www.amazon.com/dp/B0H4HRT1CB	B0H4HRT1CB	/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart, Volume 2/cover.jpg	matched Hardcover book has no audiobook edition
Villain	Natalie Zina Walschots	create_audiobook_edition	https://hardcover.app/books/villain-2026/editions	https://www.amazon.com/dp/B0CRS22TND	B0CRS22TND	/mnt/audiobooks/Natalie Zina Walschots/Hench Series/Villain/cover.jpg	matched Hardcover book has no audiobook edition
Vainglory 3	Plum Parrot	create_audiobook_edition	https://hardcover.app/books/vainglory-3-a-litrpg-adventure/editions	https://www.amazon.com/dp/B0H3W2X65R	B0H3W2X65R	/mnt/audiobooks/Plum Parrot/Vainglory/Vainglory 3/cover.jpg	matched Hardcover book has no audiobook edition
Darksight Dare	Lois McMaster Bujold	create_audiobook_edition	https://hardcover.app/books/darksight-dare/editions	https://www.amazon.com/dp/B0GZHYFMWL	B0GZHYFMWL	/mnt/audiobooks/Lois McMaster Bujold/The Penric & Desdemona Series/Darksight Dare/cover.jpg	matched Hardcover book has no audiobook edition
The Girl Who Bit Me	Valerie Hunter	create_audiobook_edition	https://hardcover.app/books/the-girl-who-bit-me/editions	https://www.amazon.com/dp/B0H4HQT8RN	B0H4HQT8RN	/mnt/audiobooks/Valerie Hunter/The Girl Who Bit Me/The Girl Who Bit Me/cover.jpg	matched Hardcover book has no audiobook edition
Goddess Alchemy	Rain Harlow	create_book_and_audiobook_edition		https://www.amazon.com/dp/B0GD8VLV5P	B0GD8VLV5P	/mnt/audiobooks/Rain Harlow/Mirror World Progression Saga/Goddess Alchemy/cover.jpg	no matching Hardcover book
Andy in the Apocalypse	Plum Parrot	use_existing_audiobook	https://hardcover.app/books/andy-in-the-apocalypse/editions/32956134	https://www.amazon.com/dp/B0GLQTDFKK	B0GLQTDFKK	/mnt/audiobooks/Plum Parrot/Andy in the Apocalypse/Andy in the Apocalypse/cover.jpg	sole audiobook duration is within 19 seconds of ABS
Welcome to the Blast	Plum Parrot	create_audiobook_edition	https://hardcover.app/books/welcome-to-the-blast/editions	https://www.amazon.com/dp/B0G1D3NZLJ	B0G1D3NZLJ	/mnt/audiobooks/Plum Parrot/Neon Dust/Welcome to the Blast/cover.jpg	matched Hardcover book has no audiobook edition
Heroics 101: A Superhero Slice-of-Life LitRPG	Aest Belequa	create_audiobook_edition	https://hardcover.app/books/heroics-101-2024/editions	https://www.amazon.com/dp/B0D3264W7N	B0D3264W7N	/mnt/audiobooks/Aest Belequa/Magical Girl Undergrad/Heroics 101 - A Superhero Slice-of-Life LitRPG/cover.jpg	matched Hardcover book has no audiobook edition
Andy in the Apocalypse 2	Plum Parrot	create_audiobook_edition	https://hardcover.app/books/andy-in-the-apocalypse-2/editions	https://www.amazon.com/dp/B0H5RH8CML	B0H5RH8CML	/metadata/items/d4cfd15e-27ea-4247-95e6-96633c7d57c5/cover.jpg	matched Hardcover book has no audiobook edition
Love, Gods and Sinners	Camille Chong	create_audiobook_edition	https://hardcover.app/books/love-gods-and-sinners/editions	https://www.amazon.com/s?i=audible&k=Love%2C+Gods+and+Sinners+Camille+Chong+Audible+Audiobook		/mnt/audiobooks/Camille Chong/Love, Gods and Sinners/cover.jpg	matched Hardcover book has no audiobook edition
The Mercy Makers	Tessa Gratton	create_audiobook_edition	https://hardcover.app/books/the-mercy-makers/editions	https://www.amazon.com/dp/B0DKGBNRKZ	B0DKGBNRKZ	/mnt/audiobooks/Tessa Gratton/The Mercy Makers/cover.jpg	matched Hardcover book has no audiobook edition
The Shape of Monsters	Tessa Gratton	create_audiobook_edition	https://hardcover.app/books/the-shape-of-monsters/editions	https://www.amazon.com/dp/B0FY82H2RX	B0FY82H2RX	/mnt/audiobooks/Tessa Gratton/Moon Heresies/The Shape of Monsters/cover.jpg	matched Hardcover book has no audiobook edition
The Red Sacrament	Sara Hinkley	create_audiobook_edition	https://hardcover.app/books/the-red-sacrament/editions	https://www.amazon.com/dp/B0GTN8YYX4	B0GTN8YYX4	/mnt/audiobooks/Sara Hinkley/The Red Sacrament/cover.jpg	matched Hardcover book has no audiobook edition
Green Crime	Julia Shaw	create_audiobook_edition	https://hardcover.app/books/green-crime/editions	https://www.amazon.com/dp/B0FW5T4J31	B0FW5T4J31	/mnt/audiobooks/Julia Shaw/Green Crime/cover.jpg	matched Hardcover book has no audiobook edition
