title	author	issues	action	hardcover_url	amazon_url	abs_duration_seconds	hardcover_duration_seconds	abs_language	hardcover_language	abs_cover_path
Calla Falling	Tallie Rose	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/calla-falling/editions	https://www.amazon.com/dp/B0CBCXQG2T	23524		English		/mnt/audiobooks/Tallie Rose/Calla Falling/cover.jpg
Hell's Heart	Alexis Hall	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/hells-heart-2026/editions	https://www.amazon.com/dp/B0F9LSXTBV	51516		English		/mnt/audiobooks/Alexis Hall/Hell's Heart/cover.jpg
Sweetbitter Song	Rosie Hewlett	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/sweetbitter-song/editions	https://www.amazon.com/dp/B0GD2CZZZH	64045		English		/mnt/audiobooks/Rosie Hewlett/Sweetbitter Song/cover.jpg
The Original	Nell Stevens	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-original-2025/editions	https://www.amazon.com/dp/B0F1Z3P3XS	36433		English		/mnt/audiobooks/Nell Stevens/The Original/cover.jpg
The Duke	Anna Cowan	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-duke-2026/editions	https://www.amazon.com/dp/B0F3KYTZ58	43731		English		/metadata/items/617922f8-07e9-435b-8ef4-8fb1e244b71d/cover.jpg
Funeral Song	Carly Racklin	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/funeral-song-2026/editions	https://www.amazon.com/dp/B0GYZLS1FX	13693		English		/mnt/audiobooks/Carly Racklin/Funeral Song/cover.jpg
Magical Girl Mechanical Heart: Volume 1	Natalie Maher	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/magical-girl-mechanical-heart/editions	https://www.amazon.com/dp/B0FRPX15HB	87998		English		/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart - Volume 1/cover.jpg
Maybe Tomorrow I'll Know	Alex Ritany	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/maybe-tomorrow-ill-know/editions	https://www.amazon.com/dp/B0GPFK6TXZ	35335		English		/mnt/audiobooks/Alex Ritany/Maybe Tomorrow I'll Know/cover.jpg
Couriers Outbound	Pirateaba	cover missing	use_existing_audiobook	https://hardcover.app/books/couriers-outbound/editions/33002678	https://www.amazon.com/dp/B0GNTGPLSN	152555	152546	English		/metadata/items/90a260a5-bf08-4f14-a6f7-28da06bfcf30/cover.jpg
Inkpot Gods	Seanan McGuire	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/inkpot-gods/editions	https://www.amazon.com/dp/B0GVTNNDFJ	52864		English		/metadata/items/d5734ed0-ec7a-4edb-b09b-95355515fe73/cover.jpg
Body Count	Codie Crowley	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/body-count-2026/editions	https://www.amazon.com/dp/B0GQCVY3H5	34969		English		/mnt/audiobooks/Codie Crowley/Body Count/cover.jpg
They Bloom at Night	Trang Thanh Tran	cover missing	use_existing_audiobook	https://hardcover.app/books/they-bloom-at-night/editions/32423225	https://www.amazon.com/dp/B0DWXZX1D6	27495	27480	English		/mnt/audiobooks/Trang Thanh Tran/They Bloom at Night/cover.jpg
Bunny Girl Evolution 2	Sir Bedivere the Mad	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/bunny-girl-evolution-2/editions	https://www.amazon.com/dp/B0GSXD1GNC	62889		English		/mnt/audiobooks/Sir Bedivere the Mad/Bunny Girl Evolution/Bunny Girl Evolution 2/cover.jpg
Magical Girl Mechanical Heart, Volume 2	Natalie Maher	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/magical-girl-mechanical-heart-volume-2-volume-2/editions	https://www.amazon.com/dp/B0H4HRT1CB	77337		English		/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart, Volume 2/cover.jpg
Villain	Natalie Zina Walschots	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/villain-2026/editions	https://www.amazon.com/dp/B0CRS22TND	67302		English		/mnt/audiobooks/Natalie Zina Walschots/Hench Series/Villain/cover.jpg
Vainglory 3	Plum Parrot	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/vainglory-3-a-litrpg-adventure/editions	https://www.amazon.com/dp/B0H3W2X65R	55595		English		/mnt/audiobooks/Plum Parrot/Vainglory/Vainglory 3/cover.jpg
Darksight Dare	Lois McMaster Bujold	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/darksight-dare/editions	https://www.amazon.com/dp/B0GZHYFMWL	19445		English		/mnt/audiobooks/Lois McMaster Bujold/The Penric & Desdemona Series/Darksight Dare/cover.jpg
The Girl Who Bit Me	Valerie Hunter	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-girl-who-bit-me/editions	https://www.amazon.com/dp/B0H4HQT8RN	49481		English		/mnt/audiobooks/Valerie Hunter/The Girl Who Bit Me/The Girl Who Bit Me/cover.jpg
Goddess Alchemy	Rain Harlow	book not identified; audiobook edition missing; cover missing	create_book_and_audiobook_edition		https://www.amazon.com/dp/B0GD8VLV5P	57876		English		/mnt/audiobooks/Rain Harlow/Mirror World Progression Saga/Goddess Alchemy/cover.jpg
Andy in the Apocalypse	Plum Parrot	cover missing	use_existing_audiobook	https://hardcover.app/books/andy-in-the-apocalypse/editions/32956134	https://www.amazon.com/dp/B0GLQTDFKK	62839	62820	English		/mnt/audiobooks/Plum Parrot/Andy in the Apocalypse/Andy in the Apocalypse/cover.jpg
Welcome to the Blast	Plum Parrot	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/welcome-to-the-blast/editions	https://www.amazon.com/dp/B0G1D3NZLJ	64023		English		/mnt/audiobooks/Plum Parrot/Neon Dust/Welcome to the Blast/cover.jpg
Heroics 101: A Superhero Slice-of-Life LitRPG	Aest Belequa	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/heroics-101-2024/editions	https://www.amazon.com/dp/B0D3264W7N	72929		English		/mnt/audiobooks/Aest Belequa/Magical Girl Undergrad/Heroics 101 - A Superhero Slice-of-Life LitRPG/cover.jpg
Andy in the Apocalypse 2	Plum Parrot	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/andy-in-the-apocalypse-2/editions	https://www.amazon.com/dp/B0H5RH8CML	66738		English		/metadata/items/d4cfd15e-27ea-4247-95e6-96633c7d57c5/cover.jpg
