Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
A Practical Guide to Evil I,"David Verburg, Amber Dekkers (Narrator)",A Practical Guide to Evil (#1),Read,,,32217542,,9798349103513,B0FG4LG58Q,Audiobook,,en,Audible Audio,,50236,,Dreamscape Lore,,,,,,,2026-05-18,2026-05-20,,,No,No,,,,,No,No,
Calla Falling,"Tallie Rose, Rebecca Avery (Narrator)",,Read,,1190863,,,,B0CBCXQG2T,Audiobook,,en,Audible Audio,,23524,,Tallie Rose,,,,,,,2026-05-20,2026-05-21,,,No,No,,,,,No,No,
Hell's Heart,"Alexis Hall, Charli Anne Delores (Narrator)",,Read,,1925307,,1250411629,9781250411624,B0F9LSXTBV,Audiobook,,en,Audible Audio,,51516,,Macmillan Audio,,,,,,,2026-05-21,2026-05-23,,,No,No,,,,,No,No,
Sweetbitter Song,"Rosie Hewlett, Lizzie Wofford (Narrator)",,Read,,2235750,,,9798899745898,B0GD2CZZZH,Audiobook,,en,Audible Audio,,64045,,Recorded Books,,,,,,,2026-05-23,2026-05-25,,,No,No,,,,,No,No,
The Original,"Nell Stevens, Kristin Atherton (Narrator), Matthew Spencer (Narrator)",,Read,,1775722,,,9798228487291,B0F1Z3P3XS,Audiobook,,en,Audible Audio,,36433,,Blackstone Publishing,,,,,,,2026-05-12,2026-05-27,,,No,No,,,,,No,No,
The Duke,"Anna Cowan, Hannah Bristow (Narrator)",,Read,,2168402,,1250415888,9781250415882,B0F3KYTZ58,Audiobook,,en,Audible Audio,,43731,,Macmillan Audio,,,,,,,2026-05-27,2026-05-27,,,No,No,,,,,No,No,
Dead Weight,"Hildur Knútsdóttir, Mary Robinette Kowal (Translator), Mary Robinette Kowal (Narrator)",,Read,,,33230051,125044697X,9781250446978,B0FML8D6TY,Audiobook,,en,Audible Audio,,11481,,Macmillan Audio,,,,,,,2026-05-27,2026-05-28,,,No,No,,,,,No,No,
Funeral Song,"Carly Racklin, Rosie Cusack (Narrator)",,Read,,2189828,,1639512608,9781639512607,B0GYZLS1FX,Audiobook,,en,Audible Audio,,13693,,Dead Sky Publishing,,,,,,,2026-05-28,2026-05-29,,,No,No,,,,,No,No,
Homebound,"Portia Elan, Lisa Flanagan (Narrator), Helen Laser (Narrator), Yu-Li Alice Shen (Narrator), Nancy Wu (Narrator)",,Read,,,32886468,1668138921,9781668138922,B0FVYL9B7N,Audiobook,,en,Audible Audio,,35737,,Simon & Schuster Audio,,,,,,,2026-05-29,2026-06-01,,,No,No,,,,,No,No,
Audition for the Fox,"Martin Cahill, Martin Cahill (Narrator)",,Read,,,32377634,,9798899732768,B0FG8FFHP9,Audiobook,,en,Audible Audio,,15759,,Recorded Books,,,,,,,2026-06-01,2026-06-03,,,No,No,,,,,No,No,
Learning Curves,"Rachel Lacey, Quinn Riley (Narrator)",,Read,,,32726001,1511353732,9781511353731,B0F39X9TFV,Audiobook,,en,Audible Audio,,39501,,Brilliance Audio,,,,,,,2026-06-03,2026-06-04,,,No,No,,,,,No,No,
Magical Girl Mechanical Heart: Volume 1,"Natalie Maher, Marissa Parness (Narrator)",Magical Girl Mechanical Heart (#1),Read,,1947394,,,,B0FRPX15HB,Audiobook,,en,Audible Audio,,87998,,Royal Guard Publishing LLC,,,,,,,2026-06-04,2026-06-07,,,No,No,,,,,No,No,
Maybe Tomorrow I'll Know,"Alex Ritany, Charli Anne Delores (Narrator)",,Read,,2191210,,,9798349163609,B0GPFK6TXZ,Audiobook,,en,Audible Audio,,35335,,Dreamscape Media,,,,,,,2026-06-07,2026-06-08,,,No,No,,,,,No,No,
"Save Scumming, Book 1","RavensDagger, Annie Ellicott (Narrator), Justin Thomas James (Narrator), Laurie Catherine Winkel (Narrator), Gary Furlong (Narrator), Dorrie Sacks (Narrator), Ryan H. Reid (Narrator), Jeff Hays (Narrator)",Save Scumming (#1),Read,,,32960630,,,B0H1S7PGKV,Audiobook,,en,Audible Audio,,59986,,Soundbooth Theater,,,,,,,2026-06-09,2026-06-09,,,No,No,,,,,No,No,
Couriers Outbound,"Pirateaba, Erin Bennett (Narrator)",The Wandering Inn (#19),Read,,,33002678,,9798895391365,B0GNTGPLSN,Audiobook,,en,Audible Audio,,152555,,Podium Audio,,,,,,,2026-06-09,2026-06-13,,,No,No,,,,,No,No,
Bone of My Bone,"Johanna van Veen, Amy Noble (Narrator)",,Read,,,32984241,,9798331906641,B0GZ4Y7NPH,Audiobook,,en,Audible Audio,,40100,,Tantor Media,,,,,,,2026-06-13,2026-06-13,,,No,No,,,,,No,No,
Inkpot Gods,"Seanan McGuire, Amber Benson (Narrator)",Alchemical Journeys (#4),Read,,2235779,,,,B0GVTNNDFJ,Audiobook,,en,Audible Audio,,52864,,Audible Studios,,,,,,,2026-06-13,2026-06-15,,,No,No,,,,,No,No,
Body Count,"Codie Crowley, Krystal Hammond (Narrator)",,Read,,2189748,,,9798891781764,B0GQCVY3H5,Audiobook,,en,Audible Audio,,34969,,Recorded Books,,,,,,,2026-06-15,2026-06-17,,,No,No,,,,,No,No,
They Bloom at Night,"Trang Thanh Tran, Nhi Do (Narrator)",,Read,,,32423225,1547615990,9781547615995,B0DWXZX1D6,Audiobook,,en,Audible Audio,,27495,,Bloomsbury YA,,,,,,,2026-06-18,2026-06-21,,,No,No,,,,,No,No,
Bunny Girl Evolution 1,"Sir Bedivere the Mad, Dorrie Sacks (Narrator), Justin Thomas James (Narrator), Ryan H. Reid (Narrator), Jeff Hays (Narrator), Andrea Parsneau (Narrator), Tess Irondale (Narrator)",Bunny Girl Evolution (#1),Read,,,32104254,,,B0FDBJG31C,Audiobook,,en,Audible Audio,,66741,,Soundbooth Theater,,,,,,,2026-06-21,2026-06-22,,,No,No,,,,,No,No,
Bunny Girl Evolution 2,"Sir Bedivere the Mad, Dorrie Sacks (Narrator), Justin Thomas James (Narrator), Ryan H. Reid (Narrator), Jeff Hays (Narrator), Jack Fields (Narrator), Tess Irondale (Narrator), Jessica Threet (Narrator)",Bunny Girl Evolution (#2),Read,,2080830,,,,B0GSXD1GNC,Audiobook,,en,Audible Audio,,62889,,Soundbooth Theater,,,,,,,2026-06-22,2026-06-23,,,No,No,,,,,No,No,
"Magical Girl Mechanical Heart, Volume 2","Natalie Maher, Marissa Parness (Narrator)",Magical Girl Mechanical Heart (#2),Read,,2811672,,,,B0H4HRT1CB,Audiobook,,en,Audible Audio,,77337,,Royal Guard Publishing LLC,,,,,,,2026-06-23,2026-06-24,,,No,No,,,,,No,No,
The Primal Hunter 14,"Zogarth, Travis Baldree (Narrator)",The Primal Hunter (#14),Read,,,33000889,,,B0H1NGTHHS,Audiobook,,en,Audible Audio,,67129,,Aethon Audio,,,,,,,2026-06-24,2026-06-25,,,No,No,,,,,No,No,
Hench,"Natalie Zina Walschots, Alex McKenna (Narrator)",Hench Series (#1),Read,,,31969631,0062978608,9780062978608,0062978608,Audiobook,,en,Audible Audio,,51304,,William Morrow,,,,,,,2026-06-25,2026-06-26,,,No,No,,,,,No,No,
Villain,"Natalie Zina Walschots, Alex McKenna (Narrator)",Hench Series (#2),Read,,972070,,0063236966,9780063236967,B0CRS22TND,Audiobook,,en,Audible Audio,,67302,,William Morrow,,,,,,,2026-06-26,2026-06-27,,,No,No,,,,,No,No,
Vainglory 3,"Plum Parrot, Robb Moreira (Narrator)",Vainglory (#3),Read,,2489777,,,,B0H3W2X65R,Audiobook,,en,Audible Audio,,55595,,Aethon Audio,,,,,,,2026-06-27,2026-06-28,,,No,No,,,,,No,No,
Darksight Dare,"Lois McMaster Bujold, Grover Gardner (Narrator)",The Penric & Desdemona Series (#16),Read,,2525047,,,9798228994164,B0GZHYFMWL,Audiobook,,en,Audible Audio,,19445,,Blackstone Publishing,,,,,,,2026-06-28,2026-06-28,,,No,No,,,,,No,No,
Cinnamon Bun Volume 7: A Wholesome LitRPG,"RavensDagger, Reba Buhr (Narrator)",Cinnamon Bun (#7),Read,,,32251120,1039487238,9781039487239,B0FHL4HQBR,Audiobook,,en,Audible Audio,,43673,,Podium Audio,,,,,,,2026-06-28,2026-06-29,,,No,No,,,,,No,No,
The Girl Who Bit Me,"Valerie Hunter, Erin Bateman (Narrator)",The Girl Who Bit Me (#1),Read,,2403126,,,,B0H4HQT8RN,Audiobook,,en,Audible Audio,,49481,,Royal Guard Publishing LLC,,,,,,,2026-06-29,2026-06-30,,,No,No,,,,,No,No,
Goddess Alchemy,"Rain Harlow, Giancarlo Herrera (Narrator), Hannah Schooner (Narrator)",Mirror World Progression Saga (#6),Read,,,,,,B0GD8VLV5P,Audiobook,,en,Audible Audio,,57876,,Royal Guard Publishing LLC,,,,,,,2026-07-01,2026-07-03,,,No,No,,,,,No,No,
Andy in the Apocalypse,"Plum Parrot, J.S. Arquin (Narrator)",Andy in the Apocalypse (#1),Read,,,32956134,,,B0GLQTDFKK,Audiobook,,en,Audible Audio,,62839,,Aethon Audio,,,,,,,2026-07-03,2026-07-04,,,No,No,,,,,No,No,
Welcome to the Blast,"Plum Parrot, Suzy Jackson (Narrator), Robb Moreira (Narrator)",Neon Dust (#1),Read,,2811894,,,9798347014200,B0G1D3NZLJ,Audiobook,,en,Audible Audio,,64023,,Podium Audio,,,,,,,2026-07-04,2026-07-05,,,No,No,,,,,No,No,
Heroics 101: A Superhero Slice-of-Life LitRPG,"Aest Belequa, Hollie Jackson (Narrator)",Magical Girl Undergrad (#1),Read,,2383942,,,,B0D3264W7N,Audiobook,,en,Audible Audio,,72929,,Podium Audio,,,,,,,2026-07-05,2026-07-07,,,No,No,,,,,No,No,
Dressed to Kill: A Monster Seamstress LitRPG,"Crown Fall, Andrea Parsneau (Narrator)",Dressed to Kill (#1),Read,,,33202786,1039437354,9781039437357,B0CR6NPFT2,Audiobook,,en,Audible Audio,,36699,,Podium Audio,,,,,,,2026-07-07,2026-07-08,,,No,No,,,,,No,No,
Andy in the Apocalypse 2,"Plum Parrot, J.S. Arquin (Narrator)",Andy in the Apocalypse (#2),Read,,2873940,,,,B0H5RH8CML,Audiobook,,en,Audible Audio,,66738,,Aethon Audio,,,,,,,2026-07-08,2026-07-10,,,No,No,,,,,No,No,
Lost Souls and a Demoness 2,"N.C. Lux, Rebecca Woods (Narrator), Daryl Mayfield (Narrator)",Lost Souls and a Demoness (#2),Read,,,32762524,,,B0G2T375WC,Audiobook,,en,Audible Audio,,72646,,Royal Guard Publishing LLC,,,,,,,2026-07-11,2026-07-14,,,No,No,,,,,No,No,
Lost Souls and a Demoness 1,"N. C. Lux, Rebecca Woods (Narrator), Daryl Mayfield (Narrator)",Lost Souls and a Demoness (#1),Read,,,32250757,,,B0F4Z71MY4,Audiobook,,en,Audible Audio,,56159,,Royal Guard Publishing LLC,,,,,,,2026-07-10,2026-07-14,,,No,No,,,,,No,No,
"Love, Gods and Sinners",Camille Chong,,Read,,1565644,,,,,Audiobook,,,Audiobook,,43683,,,,,,,,,2026-07-14,2026-07-17,,,No,No,,,,,No,No,
Dressed to Kill 2: A Monster Seamstress LitRPG,"Crown Fall, Andrea Parsneau (Narrator)",Dressed to Kill (#2),Read,,,33202787,1039437362,9781039437364,B0FFD262Q3,Audiobook,,en,Audible Audio,,32376,,Podium Audio,,,,,,,2026-07-17,2026-07-18,,,No,No,,,,,No,No,
The Mercy Makers,"Tessa Gratton, Emily Lawrence (Narrator)",,Read,,1644467,,1668649918,9781668649916,B0DKGBNRKZ,Audiobook,,en,Audible Audio,,69375,,Orbit,,,,,,,2026-07-18,2026-07-20,,,No,No,,,,,No,No,
The Shape of Monsters,"Tessa Gratton, Emily Lawrence (Narrator)",Moon Heresies (#2),Read,,2586797,,1668657740,9781668657744,B0FY82H2RX,Audiobook,,en,Audible Audio,,74272,,Orbit,,,,,,,2026-07-20,2026-07-25,,,No,No,,,,,No,No,
The Red Sacrament,"Sara Hinkley, Christine Williams (Narrator)",,Read,,2189786,,,9798349165719,B0GTN8YYX4,Audiobook,,en,Audible Audio,,67010,,Dreamscape Media,,,,,,,2026-07-25,2026-07-31,,,No,No,,,,,No,No,
The Water Outlaws,"S. L. Huang, Emily Woo Zeller (Narrator)",,Read,,465101,,,,B0BSB2DVDQ,Audiobook,,en,Audible Audio,,71037,,Dreamscape Media,,,,,,,2026-07-31,2026-08-05,,,No,No,,,,,No,No,
Green Crime,"Julia Shaw, Julia Shaw (Narrator)",,Read,,2190432,,1645023818,9781645023814,B0FW5T4J31,Audiobook,,en,Audible Audio,,31575,,Chelsea Green Publishing,,,,,,,2026-08-05,2026-08-07,,,No,No,,,,,No,No,
Bi,"Julia Shaw, Julia Shaw (Narrator)",,Read,,548921,,1705077552,9781705077559,B0B2KQ2HPT,Audiobook,,en,Audible Audio,,22868,,Recorded Books,,,,,,,2026-08-07,2026-08-07,,,No,No,,,,,No,No,
The Memory Illusion,"Julia Shaw, Siri Steinmo (Narrator)",,Read,,,31435320,,,B01E9E62P4,Audiobook,,en,Audible Audio,,29246,,Audible Studios,,,,,,,2026-08-07,2026-08-09,,,No,No,,,,,No,No,
The Devils,"Joe Abercrombie, Steven Pacey (Narrator)",The Devils (#1),Read,,1088816,,,,B0CXY69BBB,Audiobook,,en,Audible Audio,,90468,,Gollancz,,,,,,,2026-08-09,2026-08-15,,,No,No,,,,,No,No,
The Orb of Cairado,"Katherine Addison, Zehra Jane Naqvi (Narrator)",The Chronicles of Osreth,Read,,,32822493,,9798331989484,B0FXYQ65TK,Audiobook,,en,Audible Audio,,11359,,Tantor Media,,,,,,,2026-08-15,2026-08-15,,,No,No,,,,,No,No,
Meet Me in the Garden,"Nina LaCour, Angel Pean (Narrator)",,Read,,2269324,,1250444152,9781250444158,B0FP3VKX27,Audiobook,,en,Audible Audio,,58973,,Macmillan Audio,,,,,,,2026-08-16,2026-08-18,,,No,No,,,,,No,No,
Lancer: An Epic Sci-Fi Adventure,"T. R. More, Kimberly Woods (Narrator)",Godslayers (#1),Read,,2059434,,1039474802,9781039474802,B0DSGJCL1G,Audiobook,,en,Audible Audio,,76377,,Podium Audio,,,,,,,2026-08-18,2026-08-25,,,No,No,,,,,No,No,
Stray Cat Strut 8: A Cyberpunk LitRPG,"RavensDagger, Hollie Jackson (Narrator), Pavi Proczko (Narrator)",Stray Cat Strut (#8),Read,,,32763074,1039487211,9781039487215,B0GLT6CK5Z,Audiobook,,en,Audible Audio,,60468,,Podium Audio,,,,,,,2026-08-25,2026-08-28,,,No,No,,,,,No,No,
