title	author	isbn	asin	abs_id	started_at	finished_at	subtitle	narrator	publisher	published_date	published_year	language	duration_seconds	series_name	cover_path	action	confidence	evidence	hardcover_url	book_id	edition_id	alternatives	cover_needed	hardcover_duration_seconds	hardcover_language	error
A Practical Guide to Evil I	David Verburg	9798349103513	B0FG4LG58Q	df54860d-ac68-48a6-b0ed-0116aa6ac43f	2026-05-18	2026-05-20	A Practical Guide to Evil, Book 1	Amber Dekkers	Dreamscape Lore		2025	English	50236	A Practical Guide to Evil #1	/mnt/audiobooks/David Verburg/A Practical Guide to Evil/A Practical Guide to Evil I/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 16 seconds of ABS	https://hardcover.app/books/a-practical-guide-to-evil-i/editions/32217542	2072287	32217542			50220	English	
Calla Falling	Tallie Rose		B0CBCXQG2T	60b11d63-9dce-4c40-a8f0-06ecbde42d2f	2026-05-20	2026-05-21		Rebecca Avery	Tallie Rose		2023	English	23524		/mnt/audiobooks/Tallie Rose/Calla Falling/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/calla-falling/editions	1190863			True			
Hell's Heart	Alexis Hall	9781250411624	B0F9LSXTBV	e2b0e36e-8d9f-443a-abdc-a1f9ac94fb0c	2026-05-21	2026-05-23		Charli Anne Delores	Macmillan Audio		2026	English	51516		/mnt/audiobooks/Alexis Hall/Hell's Heart/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/hells-heart-2026/editions	1925307			True			
Sweetbitter Song	Rosie Hewlett	9798899745898	B0GD2CZZZH	de61a798-81d1-40d1-9c6a-33cffd3ad758	2026-05-23	2026-05-25	A Novel	Lizzie Wofford	Recorded Books		2026	English	64045		/mnt/audiobooks/Rosie Hewlett/Sweetbitter Song/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/sweetbitter-song/editions	2235750			True			
The Original	Nell Stevens	9798228487291	B0F1Z3P3XS	2d098a6e-957a-4020-b0c9-7c842219a063	2026-05-12	2026-05-27	A Novel	Kristin Atherton, Matthew Spencer	Blackstone Publishing		2025	English	36433		/mnt/audiobooks/Nell Stevens/The Original/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/the-original-2025/editions	1775722			True			
The Duke	Anna Cowan	9781250415882	B0F3KYTZ58	617922f8-07e9-435b-8ef4-8fb1e244b71d	2026-05-27	2026-05-27	A Novel	Hannah Bristow	Macmillan Audio		2026	English	43731		/metadata/items/617922f8-07e9-435b-8ef4-8fb1e244b71d/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/the-duke-2026/editions	2168402			True			
Dead Weight	Hildur Knútsdóttir, Mary Robinette Kowal - translator	9781250446978	B0FML8D6TY	71222786-e172-4366-97e6-f6bb10839bf9	2026-05-27	2026-05-28		Mary Robinette Kowal	Macmillan Audio		2026	English	11481		/metadata/items/71222786-e172-4366-97e6-f6bb10839bf9/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 7 seconds of ABS	https://hardcover.app/books/dead-weight-2026/editions/33230051	2084634	33230051			11474		
Funeral Song	Carly Racklin	9781639512607	B0GYZLS1FX	60ff3888-353a-4ba6-a863-1a4c77691025	2026-05-28	2026-05-29		Rosie Cusack	Dead Sky Publishing		2026	English	13693		/mnt/audiobooks/Carly Racklin/Funeral Song/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/funeral-song-2026/editions	2189828			True			
Homebound	Portia Elan	9781668138922	B0FVYL9B7N	6d83b88f-bc78-448e-a1c2-0b5d1fce446c	2026-05-29	2026-06-01	A Novel	Lisa Flanagan, Helen Laser, Yu-Li Alice Shen, Nancy Wu	Simon & Schuster Audio		2026	English	35737		/mnt/audiobooks/Portia Elan/Homebound/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/homebound-2026/editions/32886468	2187680	32886468			35700	English	
Audition for the Fox	Martin Cahill	9798899732768	B0FG8FFHP9	374262ab-9bda-44f4-a064-ed9c0bd0ee5e	2026-06-01	2026-06-03		Martin Cahill	Recorded Books		2025	English	15759		/mnt/audiobooks/Martin Cahill/Audition for the Fox/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/audition-for-the-fox/editions/32377634	2024879	32377634			15720	English	
Learning Curves	Rachel Lacey	9781511353731	B0F39X9TFV	cb075693-dadc-4048-810d-0f42f91571c3	2026-06-03	2026-06-04		Quinn Riley	Brilliance Audio		2025	English	39501		/mnt/audiobooks/Rachel Lacey/Learning Curves/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 21 seconds of ABS	https://hardcover.app/books/learning-curves-2025/editions/32726001	1958349	32726001			39480	English	
Magical Girl Mechanical Heart: Volume 1	Natalie Maher		B0FRPX15HB	de809309-a74b-48d3-a3cf-6c8a8388d6de	2026-06-04	2026-06-07		Marissa Parness	Royal Guard Publishing LLC		2025	English	87998	Magical Girl Mechanical Heart #1	/mnt/audiobooks/Natalie Maher/Magical Girl Mechanical Heart/Magical Girl Mechanical Heart - Volume 1/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/magical-girl-mechanical-heart/editions	1947394			True			
Maybe Tomorrow I'll Know	Alex Ritany	9798349163609	B0GPFK6TXZ	2433e125-44a5-40be-a466-f7fc03e4378a	2026-06-07	2026-06-08	A Novel	Charli Anne Delores	Dreamscape Media		2026	English	35335		/mnt/audiobooks/Alex Ritany/Maybe Tomorrow I'll Know/cover.jpg	create_audiobook_edition	high	matched Hardcover book has no audiobook edition	https://hardcover.app/books/maybe-tomorrow-ill-know/editions	2191210			True			
Save Scumming, Book 1	RavensDagger		B0H1S7PGKV	1c00fe7e-e48e-4974-871f-ff137d472b45	2026-06-09	2026-06-09		Annie Ellicott, Justin Thomas James, Laurie Catherine Winkel, Gary Furlong, Dorrie Sacks, Ryan H. Reid, Jeff Hays	Soundbooth Theater		2026	English	59986	Save Scumming #1	/metadata/items/1c00fe7e-e48e-4974-871f-ff137d472b45/cover.jpg	use_existing_audiobook	high	matched audiobook edition by ABS ISBN/ASIN	https://hardcover.app/books/save-scumming/editions/32960630	2653569	32960630			59940	English	
Couriers Outbound	Pirateaba	9798895391365	B0GNTGPLSN	90a260a5-bf08-4f14-a6f7-28da06bfcf30	2026-06-09	2026-06-13	The Wandering Inn, Book 19	Erin Bennett	Podium Audio		2026	English	152555	The Wandering Inn #19	/metadata/items/90a260a5-bf08-4f14-a6f7-28da06bfcf30/cover.jpg	use_existing_audiobook	medium	sole audiobook duration is within 9 seconds of ABS	https://hardcover.app/books/couriers-outbound/editions/33002678	2513601	33002678		True	152546		
