category	actions	title	author	current_storygraph_title	current_format	current_status	current_identifier	current_dates_read	expected_asin	expected_isbn	expected_start_date	expected_finish_date	known_storygraph_url	storygraph_search_url	subtitle	narrator	publisher	release_date	duration_seconds	cover_file	notes
date-only	add start date	A Practical Guide to Evil I	David Verburg	A Practical Guide to Evil I	audio	read	9798349103513	2026/05/20	B0FG4LG58Q	9798349103513	2026-05-18	2026-05-20	https://app.thestorygraph.com/books/76e959b0-1aa5-4b1f-a15b-0c6cdbd10ced	https://app.thestorygraph.com/browse?search_term=A%20Practical%20Guide%20to%20Evil%20I%20David%20Verburg	A Practical Guide to Evil, Book 1	Amber Dekkers	Dreamscape Lore	2025-08-05	50245	output/2026-08-29/hardcover-catchup/covers/a-practical-guide-to-evil-i-df54860d.jpg	
date-only	add start date	Calla Falling	Tallie Rose	Calla Falling	audio	read		2026/05/21	B0CBCXQG2T		2026-05-20	2026-05-21	https://app.thestorygraph.com/books/d629560f-ad23-41be-9ef0-51d6254adeea	https://app.thestorygraph.com/browse?search_term=Calla%20Falling%20Tallie%20Rose		Rebecca Avery	Tallie Rose	2023-07-07	23525	output/2026-08-29/hardcover-catchup/covers/calla-falling-60b11d63.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Hell's Heart	Alexis Hall	Hell's Heart	audio	read	9781250411624	2026/05/23	B0F9LSXTBV	9781250411624	2026-05-21	2026-05-23	https://app.thestorygraph.com/books/de573f4d-2250-4e23-b8f0-5134020ef1da	https://app.thestorygraph.com/browse?search_term=Hell%27s%20Heart%20Alexis%20Hall		Charli Anne Delores	Macmillan Audio	2026-03-10	51534	output/2026-08-29/hardcover-catchup/covers/hell-s-heart-e2b0e36e.jpg	
date-only	add start date	Sweetbitter Song	Rosie Hewlett	Sweetbitter Song	audio	read	9798899745898	2026/05/25	B0GD2CZZZH	9798899745898	2026-05-23	2026-05-25	https://app.thestorygraph.com/books/41868081-4301-46c5-bfa8-ff572315857c	https://app.thestorygraph.com/browse?search_term=Sweetbitter%20Song%20Rosie%20Hewlett	A Novel	Lizzie Wofford	Recorded Books	2026-03-18	64059	output/2026-08-29/hardcover-catchup/covers/sweetbitter-song-de61a798.jpg	
date-only	add start date	The Original	Nell Stevens	The Original	audio	read	9798228487291	2026/05/27	B0F1Z3P3XS	9798228487291	2026-05-12	2026-05-27	https://app.thestorygraph.com/books/293eb438-45cf-4e2d-b21c-042471d35359	https://app.thestorygraph.com/browse?search_term=The%20Original%20Nell%20Stevens	A Novel	Kristin Atherton, Matthew Spencer	Blackstone Publishing	2025-07-01	36444	output/2026-08-29/hardcover-catchup/covers/the-original-2d098a6e.jpg	
date-only	add start date	Dead Weight	Hildur Knútsdóttir, Mary Robinette Kowal - translator	Dead Weight	audio	read	9781250446978	2026/05/28	B0FML8D6TY	9781250446978	2026-05-27	2026-05-28	https://app.thestorygraph.com/books/d044d415-2c1f-48c0-a762-2719d08713a6	https://app.thestorygraph.com/browse?search_term=Dead%20Weight%20Hildur%20Kn%C3%BAtsd%C3%B3ttir		Mary Robinette Kowal	Macmillan Audio	2026-05-26	11484	output/2026-08-29/hardcover-catchup/covers/dead-weight-71222786.jpg	
date-only	add start date	Funeral Song	Carly Racklin	Funeral Song	audio	read	9781639512607	2026/05/29	B0GYZLS1FX	9781639512607	2026-05-28	2026-05-29		https://app.thestorygraph.com/browse?search_term=Funeral%20Song%20Carly%20Racklin		Rosie Cusack	Dead Sky Publishing	2026-05-05	13695	output/2026-08-29/hardcover-catchup/covers/funeral-song-60ff3888.jpg	
date-only	add start date	Homebound	Portia Elan	Homebound	audio	read	9781668138922	2026/06/01	B0FVYL9B7N	9781668138922	2026-05-29	2026-06-01	https://app.thestorygraph.com/books/3f85c531-8ec9-45dc-8382-1ae4efd4bf08	https://app.thestorygraph.com/browse?search_term=Homebound%20Portia%20Elan	A GMA Book Club Pick: A Novel	Lisa Flanagan, Helen Laser, Yu-Li Alice Shen, Nancy Wu	Simon & Schuster Audio	2026-05-05	35754	output/2026-08-29/hardcover-catchup/covers/homebound-6d83b88f.jpg	
date-only	add start date	Audition for the Fox	Martin Cahill	Audition For the Fox	audio	read	9798899732768	2026/06/03	B0FG8FFHP9	9798899732768	2026-06-01	2026-06-03	https://app.thestorygraph.com/books/23a561fc-1c2d-4cf5-bf02-a751b5b5d357	https://app.thestorygraph.com/browse?search_term=Audition%20for%20the%20Fox%20Martin%20Cahill		Martin Cahill	Recorded Books	2025-09-16	15767	output/2026-08-29/hardcover-catchup/covers/audition-for-the-fox-374262ab.jpg	
edition	select or create audiobook edition; mark read; set finish date; add start date	Learning Curves	Rachel Lacey	Learning Curves	paperback	to-read	9781662529238		B0F39X9TFV	9781511353731	2026-06-03	2026-06-04	https://app.thestorygraph.com/books/99b2865a-bc37-4622-a4a0-2a9e69c41c28	https://app.thestorygraph.com/browse?search_term=Learning%20Curves%20Rachel%20Lacey		Quinn Riley	Brilliance Audio	2025-09-02	39501	output/2026-08-29/hardcover-catchup/covers/learning-curves-cb075693.jpg	
date-only	add start date	Magical Girl Mechanical Heart: Volume 1	Natalie Maher	Magical Girl Mechanical Heart: Volume 1	audio	read	B0FRPX15HB	2026/06/07	B0FRPX15HB		2026-06-04	2026-06-07	https://app.thestorygraph.com/books/3c82e134-a17c-4355-8199-124818a5db77	https://app.thestorygraph.com/browse?search_term=Magical%20Girl%20Mechanical%20Heart%3A%20Volume%201%20Natalie%20Maher		Marissa Parness	Royal Guard Publishing LLC	2025-09-19	88000	output/2026-08-29/hardcover-catchup/covers/magical-girl-mechanical-heart-volume-1-de809309.jpg	
edition	select or create audiobook edition; add start date	Maybe Tomorrow I'll Know	Alex Ritany	Maybe Tomorrow I'll Know	digital	read	9781324083641	2026/06/08	B0GPFK6TXZ	9798349163609	2026-06-07	2026-06-08	https://app.thestorygraph.com/books/095f1078-8f5f-4f23-8907-0e27ffed3259	https://app.thestorygraph.com/browse?search_term=Maybe%20Tomorrow%20I%27ll%20Know%20Alex%20Ritany	A Novel	Charli Anne Delores	Dreamscape Media	2026-04-07	35347	output/2026-08-29/hardcover-catchup/covers/maybe-tomorrow-i-ll-know-2433e125.jpg	
edition	select or create audiobook edition	Save Scumming, Book 1	RavensDagger	Save Scumming, Book 1	digital	read		2026/06/09	B0H1S7PGKV		2026-06-09	2026-06-09	https://app.thestorygraph.com/books/f2a34211-b7f4-4102-9b59-0de2bc3750a7	https://app.thestorygraph.com/browse?search_term=Save%20Scumming%2C%20Book%201%20RavensDagger		Annie Ellicott, Justin Thomas James, Laurie Catherine Winkel, Gary Furlong, Dorrie Sacks, Ryan H. Reid, Jeff Hays	Soundbooth Theater	2026-06-02	59986	output/2026-08-29/hardcover-catchup/covers/save-scumming-book-1-1c00fe7e.jpg	
edition	select or create audiobook edition; add start date	Couriers Outbound	pirateaba	Couriers Outbound	digital	read		2026/06/13	B0GNTGPLSN	9798895391365	2026-06-09	2026-06-13	https://app.thestorygraph.com/books/d5b1b086-6a47-4fae-8f0f-291dd900db90	https://app.thestorygraph.com/browse?search_term=Couriers%20Outbound%20pirateaba	The Wandering Inn, Book 19	Erin Bennett	Podium Audio	2026-05-26	152555	output/2026-08-29/hardcover-catchup/covers/couriers-outbound-90a260a5.jpg	
edition	select or create audiobook edition; add start date	Inkpot Gods	Seanan McGuire	Inkpot Gods	hardcover	read		2026/06/15	B0GVTNNDFJ		2026-06-13	2026-06-15	https://app.thestorygraph.com/books/31f13776-146e-4240-8cfb-7b5dd7241a63	https://app.thestorygraph.com/browse?search_term=Inkpot%20Gods%20Seanan%20McGuire	Alchemical Journeys, Book 4	Amber Benson	Audible Studios	2026-06-09	52867	output/2026-08-29/hardcover-catchup/covers/inkpot-gods-d5734ed0.jpg	
date-only	add start date	Body Count	Codie Crowley	Body Count	audio	read	9798891781764	2026/06/17	B0GQCVY3H5	9798891781764	2026-06-15	2026-06-17		https://app.thestorygraph.com/browse?search_term=Body%20Count%20Codie%20Crowley		Krystal Hammond	Recorded Books	2026-05-05	34981	output/2026-08-29/hardcover-catchup/covers/body-count-ef155097.jpg	
date-only	add start date	They Bloom at Night	Trang Thanh Tran	They Bloom at Night	audio	read	9781547615995	2026/06/21	B0DWXZX1D6	9781547615995	2026-06-18	2026-06-21	https://app.thestorygraph.com/books/8e04f54c-f886-4fbb-a626-0684c9a5f3ea	https://app.thestorygraph.com/browse?search_term=They%20Bloom%20at%20Night%20Trang%20Thanh%20Tran		Nhi Do	Bloomsbury YA	2025-03-04	27504	output/2026-08-29/hardcover-catchup/covers/they-bloom-at-night-e1b2390d.jpg	
date-only	add start date	Bunny Girl Evolution 1	Sir Bedivere the Mad	Bunny Girl Evolution 1	audio	read		2026/06/22	B0FDBJG31C		2026-06-21	2026-06-22	https://app.thestorygraph.com/books/3277f18e-c7da-4327-9a9f-e6565ee8956f	https://app.thestorygraph.com/browse?search_term=Bunny%20Girl%20Evolution%201%20Sir%20Bedivere%20the%20Mad	A Monster Evolution LitRPG	Dorrie Sacks, Justin Thomas James, Ryan H. Reid, Jeff Hays, Andrea Parsneau, Tess Irondale	Soundbooth Theater	2025-07-01	66744	output/2026-08-29/hardcover-catchup/covers/bunny-girl-evolution-1-c4c62579.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Bunny Girl Evolution 2	Sir Bedivere the Mad	Bunny Girl Evolution 2	audio	read		2026/06/23	B0GSXD1GNC		2026-06-22	2026-06-23	https://app.thestorygraph.com/books/98a3653c-0ef9-46e4-92ed-07ecdece2faa	https://app.thestorygraph.com/browse?search_term=Bunny%20Girl%20Evolution%202%20Sir%20Bedivere%20the%20Mad	A Monster Evolution LitRPG	Dorrie Sacks, Justin Thomas James, Jeff Hays, Jack Fields, Tess Irondale, Jessica Threet	Soundbooth Theater	2026-03-31	62892	output/2026-08-29/hardcover-catchup/covers/bunny-girl-evolution-2-54222ee1.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	Magical Girl Mechanical Heart, Volume 2	Natalie Maher	Magical Girl Mechanical Heart, Volume 2	audio	read		2026/06/24	B0H4HRT1CB		2026-06-23	2026-06-24	https://app.thestorygraph.com/books/3c82e134-a17c-4355-8199-124818a5db77	https://app.thestorygraph.com/browse?search_term=Magical%20Girl%20Mechanical%20Heart%2C%20Volume%202%20Natalie%20Maher		Marissa Parness	Royal Guard Publishing LLC	2026-06-17	77339	output/2026-08-29/hardcover-catchup/covers/magical-girl-mechanical-heart-volume-2-e588ec41.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
date-only	add start date	The Primal Hunter 14	Zogarth	The Primal Hunter 14	audio	read	B0H1NGYKZQ	2026/06/25	B0H1NGTHHS		2026-06-24	2026-06-25	https://app.thestorygraph.com/books/6dceaac5-9680-49f4-a084-ca25351daa4b	https://app.thestorygraph.com/browse?search_term=The%20Primal%20Hunter%2014%20Zogarth	A LitRPG Adventure	Travis Baldree	Aethon Audio	2026-05-27	67133	output/2026-08-29/hardcover-catchup/covers/the-primal-hunter-14-830cab79.jpg	StoryGraph audiobook uses a different or blank identifier; verify only if exact Audible edition matters
status	mark read; set finish date; add start date	Hench	Natalie Zina Walschots	Hench	audio	to-read	9780062978608		0062978608	9780062978608	2026-06-25	2026-06-26	https://app.thestorygraph.com/books/f99e2b93-2199-4ca9-aece-c2468930b5e3	https://app.thestorygraph.com/browse?search_term=Hench%20Natalie%20Zina%20Walschots	A Novel	Alex McKenna	William Morrow	2020-09-22	51303	output/2026-08-29/hardcover-catchup/covers/hench-6bd09adb.jpg	
