title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates
Bloom	Delilah S. Dawson	2025-01-10	2025-01-10	no read audiobook in export	title/author	Bloom	Read	Book	2025-01-10	838564	30851701	B0CYMQJ7H3		
The Traitor Baru Cormorant	Seth Dickinson	2025-01-12	2025-01-11	no read audiobook in export	title/author	The Traitor Baru Cormorant	Read	Book	2025-01-12	441070	25267282	B014JUKKYM		
The Art of Leaving	Ayelet Tsabari	2025-01-12	2025-01-12		title/author	The Art of Leaving	Read	Audio	2025-01-12	806204	31784637	198484105X		
Iron Widow	Xiran Jay Zhao	2025-01-13	2025-01-12		identifier	Iron Widow	Read	Audio	2025-01-13	428759	31731455	0735269963		
Huntsong	Pirateaba	2025-01-15	2025-01-13		title/author	Huntsong	Read	Audio	2025-01-15	1612366	31687410	B0DG45VJRF		
I Who Have Never Known Men	Jacqueline Harpman	2025-01-15	2025-01-15	no read audiobook in export; finish date missing/different	title/author	I Who Have Never Known Men	Read	Book	2025-01-16	498097	30446998	1529191440		
World Running Down	Al Hess	2025-01-18	2025-01-15	no read audiobook in export; finish date missing/different	title/author	World Running Down	Read	Book	2025-01-16	647337	30626715	B0C25C1QX3		
The Weight of Ink	Rachel Kadish	2025-01-18	2025-01-16	no read audiobook in export; finish date missing/different	probable title match—review	The Weight of Ink	Read	Book	2025-01-17	431465	32164635	B0CTSQBMS2		
Gravesong	Pirateaba	2025-01-20	2025-01-20	finish date missing/different	title/author	Gravesong	Read	Audio		763173	32058342	B0CSLV4CZ5		
When Breath Becomes Air	Paul Kalanithi	2025-01-23	2025-01-23		title/author	When Breath Becomes Air	Read	Audio	2025-01-23	381825	13786887	B0191YTGI2		
The Nesting Dolls	Alina Adams	2025-01-25	2025-01-25		title/author	The Nesting Dolls	Read	Audio	2025-01-25	514905	31876970	0063007746		
The Luminous Dead	Caitlin Starling	2025-01-26	2025-01-25	no read audiobook in export	title/author	The Luminous Dead	Read	Book	2025-01-26	448080	30912658	0062898337		
A Desolation Called Peace	Arkady Martine	2025-01-27	2025-01-26		identifier	A Desolation Called Peace	Read	Audio	2025-01-27	1377550	30550388	1250264081		
The Well of Loneliness	Radclyffe Hall	2025-01-29	2025-01-27		title/author	The Well of Loneliness	Read	Audio	2025-01-29	245100	31913647	B089NYSK3D		
Carmilla	Joseph Sheridan Le Fanu	2025-01-29	2025-01-25	unmatched—review candidates								B015RJL1Z6		Carmilla / J. Sheridan Le Fanu [Read; Book; book 456589] | Carmilla and Laura / S D Simper, Lois Ridge (Narrator) [Read; Audio; book 775295] | Clariel / Garth Nix, Graeme Malcolm (Reading) [Read; Audio; book 436344]
This Is Real and You Are Completely Unprepared	Alan Lew, Norman Fischer - foreword	2025-01-29	2025-01-29	no read audiobook in export	probable title match—review	This Is Real and You Are Completely Unprepared: The Days of Awe as a Journey of Transformation	Read	Book	2025-01-29	18163	17329222	B07F2MJ86H		
Bless the Blood	Walela Nehanda	2025-01-30	2025-01-29	unmatched—review candidates								B0C4VTZMWR		Bless the Blood: A Cancer Memoir /  [Read; Book; book 1146109] | Black as Blood / Seanan McGuire [Want to Read; Ebook; book 1046141] | The Blood Years / Elana K. Arnold [Want to Read; Book; book 1250954]
The Senator's Wife	Jen Lyon	2025-01-31	2025-01-30	no read audiobook in export; finish date missing/different	title/author	The Senator's Wife	Read	Ebook	2025-01-27	903069	30925097	B0CJ5XXCWH		
Caught Sleeping	Jen Lyon	2025-02-01	2025-01-31	no read audiobook in export; finish date missing/different	title/author	Caught Sleeping	Read	Ebook	2025-01-31	1264955	31290008	B0CPNSLJV9		
How to Become the Dark Lord and Die Trying	Django Wexler	2025-02-02	2025-02-01		title/author	How to Become the Dark Lord and Die Trying	Read	Audio	2025-02-02	1086192	31913600	B0CKXWFMS9		
The Monster Baru Cormorant	Seth Dickinson	2025-02-05	2025-02-02	no read audiobook in export	title/author	The Monster Baru Cormorant	Read	Book	2025-02-05	118479	30405457	125031092X		
Against the Inquisition	Marcos Aguinis, Carolina De Robertis - translator	2025-02-06	2025-02-02	no read audiobook in export	title/author	Against the Inquisition	Read	Book	2025-02-06	487722	30434535	B07D9TTLZN		
Sorrowland	Rivers Solomon	2025-02-09	2025-02-08		identifier	Sorrowland	Read	Audio	2025-02-09	435914	30550672	125080440X		
Single Player	Tara Tai	2025-02-13	2025-02-13	no read audiobook in export; finish date missing/different	probable title match—review	Single Player	Read	Book	2025-02-14	1402075	31891140	B0DDMPYRK8		
