abs_title	book_ids	reason
Carmilla	456589	Joseph Sheridan Le Fanu / J. Sheridan Le Fanu; same title.
Bless the Blood	1146109	Distinctive title plus A Cancer Memoir subtitle; export author blank.
Earth Logic Elemental Logic, Book 2 (Unabridged)	458071	Earth Logic; author and Elemental Logic volume 2 agree.
Primal Hunter 4	638200	Leading The omitted; Zogarth and volume 4 agree.
Rains of Liscor	1128283	Leading The omitted; same author and Wandering Inn volume 7.
The Golem and the Jinni	498604	Jinni / Djinni spelling variant; same author.
Beneath the Dragoneye Moons	637750	Oathbound Healer; Selkie Myth, series volume 1.
Beneath the Dragoneye Moons 2	637839	Adventures in the Argo; Selkie Myth, series volume 2.
Beneath the Dragoneye Moons 3	637838	Ranger's Dawn; Selkie Myth, series volume 3.
Beneath the Dragoneye Moons 4	637837	Beyond the Wall; Selkie Myth, series volume 4.
Beneath the Dragoneye Moons 5	637836	Moonveiled Journeys; Selkie Myth, series volume 5.
Beneath the Dragoneye Moons 6	637835	Immortal Moments; Selkie Myth, series volume 6.
Artificial Condition (Dramatized Adaptation)	427537	Same underlying work; dramatized edition is not established by this pairing.
The Grim Guys	995901	Press Start; both sources identify Eric Ugland, The Grim Guys volume 1.
The Village of Noobtown	646490	Leading The variation; same author and Noobtown volume 2.
Hive Minds Give Good Hugs	917423	Natalie Maher / Thundamoo author alias; same title.
Blood Cross: Jane Yellowrock, Book 2	59858	Series suffix only; Faith Hunter and volume 2 agree.
Mercy Blade: Jane Yellowrock, Book 3	459421	Series suffix only; Faith Hunter and volume 3 agree.
Raven Cursed: Jane Yellowrock, Book 4	476427	Series suffix only; Faith Hunter and volume 4 agree.
Blood Trade: Jane Yellowrock, Book 6	458595	Series suffix only; Faith Hunter and volume 6 agree.
Grimoire of the Lamb	1612285	Leading The variation; same author.
Three Slices	1105681	Export credits coauthor Delilah S. Dawson; ABS also credits Hearne and Wendig.
Two Tales of the Iron Druid Chronicles	1192413,429339	Audible B00XUMA190 description names Kaibab Unbound and A Test of Mettle; both are Read in export. Combined edition not established. Source: https://www.audible.com/pd/B00XUMA190
Midnight Riot	440003	US title for Rivers of London; Ben Aaronovitch, first Rivers of London novel.
Imp Series, Books 1-3	612355,612354,612353	All three constituents are Read: A Demon Bound, Satan's Sword, Elven Blood. Omnibus edition not established.
Viridian Gate Online: Firebrand: A litRPG Adventure	1612329	Firebrand record with blank author; consistent with same import batch and adjacent Firebrand volumes. Book-level pairing; sparse catalog metadata.
Viridian Gate Online: Embers of Rebellion	769833	Same individual title and author; series prefix omitted.
The Hobgoblin Riot	770123	Dominion of Blades Book 2 / A LitRPG Adventure subtitle; author agrees.
Dark Matter (Movie Tie-In)	57214	Same Blake Crouch novel; movie tie-in edition descriptor only.
A Grown-Up Guide to Dinosaurs	434402	ABS narrator Professor Ben Garrod is export author Ben Garrod; runtime 9783 vs 9780 seconds.
Alien: Sea of Sorrows	463060	ABS also credits dramatist Dirk Maggs; export credits James A. Moore. Underlying work matched, adaptation edition not established.
Parasite Rex	9543	Same author; long descriptive subtitle omitted in ABS.
Daughter of Smoke and Bone	232764	and / ampersand variation; same author.
Alien: Out of the Shadows	1604318	ABS also credits dramatist Dirk Maggs; export credits Tim Lebbon. Underlying work matched, adaptation edition not established.
Kill the Farm Boy	465839	Export credits coauthor Delilah S. Dawson; ABS also credits Kevin Hearne.
