title	action	edition_url	edit_url	remaining_audit_flags	cover_file	author	narrator	subtitle	publisher	published_date	language	duration_seconds	asin	isbn	started_at	finished_at	preserved_hardcover_start	preserved_hardcover_finish	note
The Jewel and Her Lapidary	corrected audiobook format	https://hardcover.app/books/the-jewel-and-her-lapidary/editions/32342893	https://hardcover.app/editions/32342893/edit		output/2026-09-11/hardcover-audit/read-repairs/covers/the-jewel-and-her-lapidary-4afbdaab.jpg	Fran Wilde	Mahvesh Murad		Macmillan Audio	2016-05-24	english	6496	B01FG740UC	9781427273901	2025-03-29	2025-03-29			
Overgrowth	existing audiobook	https://hardcover.app/books/overgrowth/editions/32122710	https://hardcover.app/editions/32122710/edit	ISBN missing; duration needs update: 62845	output/2026-09-11/hardcover-audit/read-repairs/covers/overgrowth-02d0ca5d.jpg	Mira Grant	Caitlin Kelly		Macmillan Audio	2025-05-06	english	62845	B0DFR282FJ	9781250401748	2025-05-10	2025-05-11			isbn_10 '1250401747' is already in use by another edition
Ruinsong	created audiobook	https://hardcover.app/books/ruinsong/editions/33299925	https://hardcover.app/editions/33299925/edit		output/2026-09-11/hardcover-audit/read-repairs/covers/ruinsong-f4d4a834.jpg	Julia Ember	Lauren Ezzo		Dreamscape Media, LLC	2020-11-24	english	30709	166205047X	9781666544305	2025-05-11	2025-05-12			
Don't Let the Forest In	existing audiobook	https://hardcover.app/books/dont-let-the-forest-in/editions/31710130	https://hardcover.app/editions/31710130/edit	ASIN needs update: B0D9WL1F4T; author missing: C.G. Drews	output/2026-09-11/hardcover-audit/read-repairs/covers/don-t-let-the-forest-in-fdd7d4c3.jpg	C.G. Drews	Michael Crouch		Recorded Books		English	30217	B0D9WL1F4T		2025-05-12	2025-05-13			
Hell's Wardens	existing audiobook	https://hardcover.app/books/hells-wardens/editions/31643085	https://hardcover.app/editions/31643085/edit	subtitle needs update: The Wandering Inn, Book 14; ASIN needs update: B0DCCZ5MG2; duration needs update: 95550	output/2026-09-11/hardcover-audit/read-repairs/covers/hell-s-wardens-0f8e829d.jpg	pirateaba	Andrea Parsneau	The Wandering Inn, Book 14	Podium Audio	2024-11-12	english	95550	B0DCCZ5MG2	9781039448254	2025-05-19	2025-05-19			
The Churn	existing audiobook	https://hardcover.app/books/the-churn/editions/31892495	https://hardcover.app/editions/31892495/edit	duration needs update: 8291; publication date needs update: 2021-12-28; cover missing	output/2026-09-11/hardcover-audit/read-repairs/covers/the-churn-an-expanse-novella-46c95671.jpg	James S. A. Corey	Jefferson Mays		Orbit	2021-12-28	english	8291	B09JB2RSL3	9781549165658	2025-05-19	2025-05-19			
Gods of Risk	corrected audiobook format	https://hardcover.app/books/gods-of-risk/editions/31545537	https://hardcover.app/editions/31545537/edit	subtitle needs update: An Expanse Novella; cover missing	output/2026-09-11/hardcover-audit/read-repairs/covers/gods-of-risk-3f891f62.jpg	James S. A. Corey	Jefferson Mays	An Expanse Novella	Orbit	2021-12-28	english	8411	B09JB97WRH	9781549165627	2025-05-19	2025-05-19			
Leviathan Falls	existing audiobook	https://hardcover.app/books/leviathan-falls/editions/32062744	https://hardcover.app/editions/32062744/edit	subtitle needs update: Expanse, Book 9; ISBN missing; duration needs update: 70808	output/2026-09-11/hardcover-audit/read-repairs/covers/leviathan-falls-29008df8.jpg	James S. A. Corey	Jefferson Mays	Expanse, Book 9	Recorded Books	2021-11-30	english	70808	1980035962	9781980035961	2025-05-19	2025-05-19		2025-12-16	Original export already Read; original identifier match pointed to an unrelated A.G. Riddle book. Corrected to James S. A. Corey book 463439.
Soul Taken	existing audiobook	https://hardcover.app/books/soul-taken/editions/32383597	https://hardcover.app/editions/32383597/edit	subtitle needs update: A Mercy Thompson Novel, Book 13; ISBN needs update: 9780593553671; publisher needs update: Penguin Audio	output/2026-09-11/hardcover-audit/read-repairs/covers/soul-taken-8131b06c.jpg	Patricia Briggs	Lorelei King	A Mercy Thompson Novel, Book 13	Penguin Audio	2022-08-23	english	38041	0593553675	9780593553671	2025-05-19	2025-05-19			
American Demon	existing audiobook	https://hardcover.app/books/american-demon/editions/31951643	https://hardcover.app/editions/31951643/edit	ASIN needs update: 0593214137; duration needs update: 68029	output/2026-09-11/hardcover-audit/read-repairs/covers/american-demon-97e69e63.jpg	Kim Harrison	Marguerite Gavin		Penguin Audio	2020-06-16	english	68029	0593214137	9780593214138	2025-05-22	2025-05-22			
