title	action	edit_url	edition_url	remaining	cover_file	start_date	finish_date	historical
Black Girl, Call Home	created audiobook	https://hardcover.app/editions/33300371/edit	https://hardcover.app/books/black-girl-call-home/editions/33300371	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/black-girl-call-home-54260859.jpg	2025-05-06	2025-05-06	False
Quill and Still	existing audiobook	https://hardcover.app/editions/32091845/edit	https://hardcover.app/books/quill-and-still/editions/32091845	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/quill-and-still-e9ba5841.jpg	2025-05-07	2025-05-09	False
Shifting Shadows	created audiobook	https://hardcover.app/editions/33300372/edit	https://hardcover.app/books/shifting-shadows/editions/33300372	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/shifting-shadows-9e637394.jpg	2025-05-19	2025-05-19	False
Accidental Duelist	existing audiobook	https://hardcover.app/editions/31793689/edit	https://hardcover.app/books/accidental-duelist/editions/31793689	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/accidental-duelist-5d5930c5.jpg	2025-05-19	2025-05-19	False
Accidental Raider	existing audiobook	https://hardcover.app/editions/31793688/edit	https://hardcover.app/books/accidental-raider/editions/31793688	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/accidental-raider-114d329d.jpg	2025-05-19	2025-05-19	False
Accidental Dragoon	existing audiobook	https://hardcover.app/editions/31793686/edit	https://hardcover.app/books/accidental-dragoon/editions/31793686	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/accidental-dragoon-6d36db91.jpg	2025-05-19	2025-05-19	False
Goddess Reborn!	created audiobook	https://hardcover.app/editions/33300373/edit	https://hardcover.app/books/goddess-reborn-2023/editions/33300373	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/goddess-reborn-042c9400.jpg	2025-05-22	2025-05-22	False
Goddess Descension	created audiobook	https://hardcover.app/editions/33300374/edit	https://hardcover.app/books/goddess-descension-2024/editions/33300374	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/goddess-descension-cded1acb.jpg	2025-05-22	2025-05-22	False
Goddess Rising	created audiobook	https://hardcover.app/editions/33300375/edit	https://hardcover.app/books/goddess-rising/editions/33300375	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/goddess-rising-0470effe.jpg	2025-05-22	2025-05-22	False
Night Angel Nemesis	existing audiobook	https://hardcover.app/editions/32716118/edit	https://hardcover.app/books/night-angel-nemesis/editions/32716118	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/night-angel-nemesis-9786aa69.jpg	2025-05-22	2025-05-22	False
Forge of Destiny	existing audiobook	https://hardcover.app/editions/33215076/edit	https://hardcover.app/books/forge-of-destiny-volume-1/editions/33215076	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/forge-of-destiny-61014a9c.jpg	2025-05-22	2025-05-22	False
This Quest Is Broken!	existing audiobook	https://hardcover.app/editions/33224146/edit	https://hardcover.app/books/this-quest-is-broken/editions/33224146	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/this-quest-is-broken-8510cb64.jpg	2025-05-22	2025-05-22	False
This Class Is Bonkers!	existing audiobook	https://hardcover.app/editions/33224145/edit	https://hardcover.app/books/this-class-is-bonkers/editions/33224145	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/this-class-is-bonkers-9bd2c2d7.jpg	2025-05-22	2025-05-22	False
This Guild Is Batty!	existing audiobook	https://hardcover.app/editions/33224144/edit	https://hardcover.app/books/this-guild-is-batty/editions/33224144	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/this-guild-is-batty-2adeb08f.jpg	2025-05-22	2025-05-22	False
This Plot Is Bananas!: A Comedy LitRPG Adventure (This Trilogy Is Broken, Book 4)	existing audiobook	https://hardcover.app/editions/33224143/edit	https://hardcover.app/books/this-plot-is-bananas/editions/33224143	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/this-plot-is-bananas-35f1cfe7.jpg	2025-05-22	2025-05-22	False
Lucifer's Daughter	created audiobook	https://hardcover.app/editions/33300377/edit	https://hardcover.app/books/lucifers-daughter/editions/33300377	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/lucifer-s-daughter-e27df6d5.jpg	2025-05-22	2025-05-22	False
How to Defeat a Demon King in Ten Easy Steps	existing audiobook	https://hardcover.app/editions/30407443/edit	https://hardcover.app/books/how-to-defeat-a-demon-king-in-ten-easy-steps/editions/30407443	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/how-to-defeat-a-demon-king-in-ten-easy-steps-006334b5.jpg	2025-05-22	2025-05-22	False
Soul Music	existing audiobook	https://hardcover.app/editions/32293063/edit	https://hardcover.app/books/soul-music/editions/32293063	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/soul-music-f151efa5.jpg	2025-05-22	2025-05-22	False
Oberon's Meaty Mysteries: The Squirrel on the Train	existing audiobook	https://hardcover.app/editions/30398306/edit	https://hardcover.app/books/the-squirrel-on-the-train/editions/30398306	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/oberon-s-meaty-mysteries-the-squirrel-on-the-train-98017f38.jpg	2025-05-22	2025-05-22	False
The Purloined Poodle	existing audiobook	https://hardcover.app/editions/32894879/edit	https://hardcover.app/books/the-purloined-poodle/editions/32894879	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/the-purloined-poodle-29daf17b.jpg	2025-05-22	2025-05-22	False
Word Puppets	created audiobook	https://hardcover.app/editions/33300379/edit	https://hardcover.app/books/word-puppets/editions/33300379	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/word-puppets-2732947a.jpg	2025-05-22	2025-05-22	False
