title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
Bloom	Delilah S. Dawson	2025-01-10	2025-01-10	no read audiobook in export	title/author	Bloom	Read	Book	2025-01-10	838564	30851701	B0CYMQJ7H3			original exact match retained		
The Traitor Baru Cormorant	Seth Dickinson	2025-01-12	2025-01-11	no read audiobook in export	title/author	The Traitor Baru Cormorant	Read	Book	2025-01-12	441070	25267282	B014JUKKYM			original exact match retained		
The Art of Leaving	Ayelet Tsabari	2025-01-12	2025-01-12		title/author	The Art of Leaving	Read	Audio	2025-01-12	806204	31784637	198484105X			original exact match retained		
Iron Widow	Xiran Jay Zhao	2025-01-13	2025-01-12		identifier	Iron Widow	Read	Audio	2025-01-13	428759	31731455	0735269963			original exact match retained		
Huntsong	Pirateaba	2025-01-15	2025-01-13		title/author	Huntsong	Read	Audio	2025-01-15	1612366	31687410	B0DG45VJRF			original exact match retained		
I Who Have Never Known Men	Jacqueline Harpman	2025-01-15	2025-01-15	no read audiobook in export; finish date missing/different	title/author	I Who Have Never Known Men	Read	Book	2025-01-16	498097	30446998	1529191440			original exact match retained		
World Running Down	Al Hess	2025-01-18	2025-01-15	no read audiobook in export; finish date missing/different	title/author	World Running Down	Read	Book	2025-01-16	647337	30626715	B0C25C1QX3			original exact match retained		
The Weight of Ink	Rachel Kadish	2025-01-18	2025-01-16	no read audiobook in export; finish date missing/different	manual book-level pairing	The Weight of Ink	Read	Book	2025-01-17	431465	32164635	B0CTSQBMS2			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1372
Gravesong	Pirateaba	2025-01-20	2025-01-20	finish date missing/different	title/author	Gravesong	Read	Audio		763173	32058342	B0CSLV4CZ5			original exact match retained		
When Breath Becomes Air	Paul Kalanithi	2025-01-23	2025-01-23		title/author	When Breath Becomes Air	Read	Audio	2025-01-23	381825	13786887	B0191YTGI2			original exact match retained		
The Nesting Dolls	Alina Adams	2025-01-25	2025-01-25		title/author	The Nesting Dolls	Read	Audio	2025-01-25	514905	31876970	0063007746			original exact match retained		
The Luminous Dead	Caitlin Starling	2025-01-26	2025-01-25	no read audiobook in export	title/author	The Luminous Dead	Read	Book	2025-01-26	448080	30912658	0062898337			original exact match retained		
A Desolation Called Peace	Arkady Martine	2025-01-27	2025-01-26		identifier	A Desolation Called Peace	Read	Audio	2025-01-27	1377550	30550388	1250264081			original exact match retained		
The Well of Loneliness	Radclyffe Hall	2025-01-29	2025-01-27		title/author	The Well of Loneliness	Read	Audio	2025-01-29	245100	31913647	B089NYSK3D			original exact match retained		
Carmilla	Joseph Sheridan Le Fanu	2025-01-29	2025-01-25	no read audiobook in export; finish date missing/different	manual book-level pairing	Carmilla	Read	Book	2025-01-25	456589	3910455	B015RJL1Z6			paired manually	Joseph Sheridan Le Fanu / J. Sheridan Le Fanu; same title.	1382
This Is Real and You Are Completely Unprepared	Alan Lew, Norman Fischer - foreword	2025-01-29	2025-01-29	no read audiobook in export	manual book-level pairing	This Is Real and You Are Completely Unprepared: The Days of Awe as a Journey of Transformation	Read	Book	2025-01-29	18163	17329222	B07F2MJ86H			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	571
Bless the Blood	Walela Nehanda	2025-01-30	2025-01-29	no read audiobook in export	manual book-level pairing	Bless the Blood: A Cancer Memoir	Read	Book	2025-01-30	1146109	31913561	B0C4VTZMWR			paired manually	Distinctive title plus A Cancer Memoir subtitle; export author blank.	1386
The Senator's Wife	Jen Lyon	2025-01-31	2025-01-30	no read audiobook in export; finish date missing/different	title/author	The Senator's Wife	Read	Ebook	2025-01-27	903069	30925097	B0CJ5XXCWH			original exact match retained		
Caught Sleeping	Jen Lyon	2025-02-01	2025-01-31	no read audiobook in export; finish date missing/different	title/author	Caught Sleeping	Read	Ebook	2025-01-31	1264955	31290008	B0CPNSLJV9			original exact match retained		
How to Become the Dark Lord and Die Trying	Django Wexler	2025-02-02	2025-02-01		title/author	How to Become the Dark Lord and Die Trying	Read	Audio	2025-02-02	1086192	31913600	B0CKXWFMS9			original exact match retained		
The Monster Baru Cormorant	Seth Dickinson	2025-02-05	2025-02-02	no read audiobook in export	title/author	The Monster Baru Cormorant	Read	Book	2025-02-05	118479	30405457	125031092X			original exact match retained		
Against the Inquisition	Marcos Aguinis, Carolina De Robertis - translator	2025-02-06	2025-02-02	no read audiobook in export	title/author	Against the Inquisition	Read	Book	2025-02-06	487722	30434535	B07D9TTLZN			original exact match retained		
Sorrowland	Rivers Solomon	2025-02-09	2025-02-08		identifier	Sorrowland	Read	Audio	2025-02-09	435914	30550672	125080440X			original exact match retained		
Single Player	Tara Tai	2025-02-13	2025-02-13	no read audiobook in export; finish date missing/different	manual book-level pairing	Single Player	Read	Book	2025-02-14	1402075	31891140	B0DDMPYRK8			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1399
Hammajang Luck	Makana Yamamoto	2025-02-17	2025-02-16	no read audiobook in export; finish date missing/different	title/author	Hammajang Luck	Read	Book	2025-02-18	1231119	31755203	B0D5KV534V			original exact match retained		
The Shadow of the Wind	Carlos Ruiz Zafón	2025-02-20	2025-02-19		title/author	The Shadow of the Wind	Read	Audio	2025-02-20	375470	30744609	B002V0QUJC			original exact match retained		
Hungerstone	Kat Dunn	2025-02-20	2025-02-20		title/author	Hungerstone	Read	Audio	2025-02-20	1125288	31913577	B0CLYLTFGM			original exact match retained		
Aurora's Angel	Emily Noon	2025-02-21	2025-02-20		title/author	Aurora's Angel	Read	Audio	2025-02-21	663862	31470798	1705231942			original exact match retained		
The Mimicking of Known Successes	Malka Older	2025-02-22	2025-02-21		title/author	The Mimicking of Known Successes	Read	Audio	2025-02-22	510297	31469013	B0BKR5JBBD	9798212246989		original exact match retained		
The Invisible Life of Addie LaRue	V. E. Schwab	2025-02-23	2025-02-22		identifier	The Invisible Life of Addie LaRue	Read	Audio	2025-02-23	427524	30550645	125077795X			original exact match retained		
Homeward	Angela Jackson-Brown	2025-02-23	2025-02-23	no read audiobook in export	title/author	Homeward	Read	Book	2025-02-23	880782	30899593	B0BZT7RB3P			original exact match retained		
You Don’t Know Us Negroes and Other Essays	Zora Neale Hurston, Henry Louis Gates - introduction, Genevieve West - introduction	2025-02-27	2025-02-26	finish date missing/different	title/author	You Don't Know Us Negroes and Other Essays	Read	Audio	2025-02-27,2025-02-27	1127565	31901477	0063043882			original exact match retained		
The Other March Sisters	Linda Epstein, Liz Parker, Ally Malinenko	2025-02-28	2025-02-27	no read audiobook in export	manual book-level pairing	The Other March Sisters	Read	Book	2025-02-28	1594487	31913571	B0DVD1F88M			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1408
The Tiger's Daughter	K Arsenault Rivera	2025-03-01	2025-02-28		title/author	The Tiger's Daughter	Read	Audio	2025-03-01	441125	31907978	B074ZPC3V6			original exact match retained		
The Phoenix Empress	K. Arsenault Rivera	2025-03-02	2025-03-01	no read audiobook in export; finish date missing/different	title/author	The Phoenix Empress	Read	Book	2025-03-03	485005	31913557	B07HGDL75T			original exact match retained		
The Warrior Moon	K. Arsenault Rivera	2025-03-05	2025-03-02	no read audiobook in export	title/author	The Warrior Moon	Read	Book	2025-03-05	465387	31913589	B07Y8PV55W			original exact match retained		
House of Crimson Hearts	Ruby Roe	2025-03-06	2025-03-05		title/author	House of Crimson Hearts	Read	Audio	2025-03-06	1180168	31918392	B0D893FC6M			original exact match retained		
House of Crimson Kisses	Ruby Roe	2025-03-07	2025-03-06		title/author	House of Crimson Kisses	Read	Audio	2025-03-07	1441667	31919855	B0DK66TWKN			original exact match retained		
House of Crimson Curses	Ruby Roe	2025-03-08	2025-03-07	no read audiobook in export	title/author	House of Crimson Curses	Read	Ebook	2025-03-08	1726588	31826802	B0DTBSRVNT			original exact match retained		
The Faithless	C. L. Clark	2025-03-11	2025-03-08		title/author	The Faithless	Read	Audio	2025-03-11	465103	31923820	B0BQ7L9F7D			original exact match retained		
The Unbroken	C. L. Clark	2025-03-11	2025-03-11	no read audiobook in export; finish date missing/different	title/author	The Unbroken	Read	Book	2025-01-07	428981	15344711	1549133861			original exact match retained		
The Whispering Dark	Kelly Andrew	2025-03-13	2025-03-11	no read audiobook in export	title/author	The Whispering Dark	Read	Book	2025-03-13	513331	30465712	B0B5YM97FR			original exact match retained		
She Who Became the Sun	Shelley Parker-Chan	2025-03-14	2025-03-13		identifier	She Who Became the Sun	Read	Audio	2025-03-14	431518	30738186	1250807808			original exact match retained		
He Who Drowned the World	Shelley Parker-Chan	2025-03-15	2025-03-14	no read audiobook in export; finish date missing/different	title/author	He Who Drowned the World	Read	Book	2025-03-16	1029526	31053978	B0BVKTKR92			original exact match retained		
The Unspoken Name	A. K. Larkwood	2025-03-17	2025-03-15		title/author	The Unspoken Name	Read	Audio	2025-03-17	440910	32164684	1250264065			original exact match retained		
The Thousand Eyes	A. K. Larkwood	2025-03-19	2025-03-17	no read audiobook in export; finish date missing/different	identifier	The Thousand Eyes	Read	Book	2025-03-20	465272	32164686	1250807883			original exact match retained		
The Bruising of Qilwa	Naseem Jamnia	2025-03-19	2025-03-19	no read audiobook in export; finish date missing/different	title/author	The Bruising of Qilwa	Read	Book	2025-03-20	512321	30464615	B0BLJ29Y83			original exact match retained		
Fire Logic	Laurie J. Marks	2025-03-21	2025-03-19	no read audiobook in export	title/author	Fire Logic	Read	Book	2025-03-21	101571	17323921		9781931520393		original exact match retained		
Earth Logic Elemental Logic, Book 2 (Unabridged)	Laurie J. Marks	2025-03-23	2025-03-21	no read audiobook in export	manual book-level pairing	Earth Logic	Read	Book	2025-03-23	458071	30433057				paired manually	Earth Logic; author and Elemental Logic volume 2 agree.	2190
Tigana	Guy Gavriel Kay	2025-03-26	2025-03-23	no read audiobook in export; finish date missing/different	title/author	Tigana	Read	Book	2025-03-27	432215	14299413	198009036X			original exact match retained		
Dungeon Crawler Carl	Matt Dinniman	2025-03-27	2025-03-26	no read audiobook in export	title/author	Dungeon Crawler Carl	Read	Ebook	2025-03-27	446681	30407789	B08V8B2CGV			original exact match retained		
Earthshaker: A LitRPG Progression Fantasy	Plum Parrot	2025-03-28	2025-03-27		title/author	Earthshaker: A LitRPG Progression Fantasy	Read	Audio	2025-03-28	1821351	31945251	B0DHW6BLHD			original exact match retained		
Pit Fighter: A LitRPG Progression Fantasy	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	manual book-level pairing	Pit Fighter	Read	Audio		1451509	31885299	B0BPJV2YYV			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1080
Dungeon Delver: A LitRPG Progression Fantasy	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	manual book-level pairing	Dungeon Delver	Read	Audio		1563860	31941684	B0BXBDB9QZ			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1090
Spirit Hunter: A LitRPG Progression Fantasy	Plum Parrot	2025-03-28	2025-03-28	finish date missing/different	manual book-level pairing	Spirit Hunter	Read	Audio		1563857	31941686	B0CB73F915			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1183
