title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
Bloom	Delilah S. Dawson	2025-01-10	2025-01-10	no read audiobook in export	title/author	Bloom	Read	Book	2025-01-10	838564	30851701	B0CYMQJ7H3			original exact match retained		
The Traitor Baru Cormorant	Seth Dickinson	2025-01-12	2025-01-11	no read audiobook in export	title/author	The Traitor Baru Cormorant	Read	Book	2025-01-12	441070	25267282	B014JUKKYM			original exact match retained		
I Who Have Never Known Men	Jacqueline Harpman	2025-01-15	2025-01-15	no read audiobook in export; finish date missing/different	title/author	I Who Have Never Known Men	Read	Book	2025-01-16	498097	30446998	1529191440			original exact match retained		
World Running Down	Al Hess	2025-01-18	2025-01-15	no read audiobook in export; finish date missing/different	title/author	World Running Down	Read	Book	2025-01-16	647337	30626715	B0C25C1QX3			original exact match retained		
The Weight of Ink	Rachel Kadish	2025-01-18	2025-01-16	no read audiobook in export; finish date missing/different	manual book-level pairing	The Weight of Ink	Read	Book	2025-01-17	431465	32164635	B0CTSQBMS2			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1372
The Luminous Dead	Caitlin Starling	2025-01-26	2025-01-25	no read audiobook in export	title/author	The Luminous Dead	Read	Book	2025-01-26	448080	30912658	0062898337			original exact match retained		
Carmilla	Joseph Sheridan Le Fanu	2025-01-29	2025-01-25	no read audiobook in export; finish date missing/different	manual book-level pairing	Carmilla	Read	Book	2025-01-25	456589	3910455	B015RJL1Z6			paired manually	Joseph Sheridan Le Fanu / J. Sheridan Le Fanu; same title.	1382
This Is Real and You Are Completely Unprepared	Alan Lew, Norman Fischer - foreword	2025-01-29	2025-01-29	no read audiobook in export	manual book-level pairing	This Is Real and You Are Completely Unprepared: The Days of Awe as a Journey of Transformation	Read	Book	2025-01-29	18163	17329222	B07F2MJ86H			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	571
Bless the Blood	Walela Nehanda	2025-01-30	2025-01-29	no read audiobook in export	manual book-level pairing	Bless the Blood: A Cancer Memoir	Read	Book	2025-01-30	1146109	31913561	B0C4VTZMWR			paired manually	Distinctive title plus A Cancer Memoir subtitle; export author blank.	1386
The Senator's Wife	Jen Lyon	2025-01-31	2025-01-30	no read audiobook in export; finish date missing/different	title/author	The Senator's Wife	Read	Ebook	2025-01-27	903069	30925097	B0CJ5XXCWH			original exact match retained		
Caught Sleeping	Jen Lyon	2025-02-01	2025-01-31	no read audiobook in export; finish date missing/different	title/author	Caught Sleeping	Read	Ebook	2025-01-31	1264955	31290008	B0CPNSLJV9			original exact match retained		
The Monster Baru Cormorant	Seth Dickinson	2025-06-27	2025-06-27	no read audiobook in export; finish date missing/different	title/author	The Monster Baru Cormorant	Read	Book	2025-02-05	118479	30405457	125031092X	9781250310927		original exact match retained		
Against the Inquisition	Marcos Aguinis, Carolina De Robertis - translator	2025-02-06	2025-02-02	no read audiobook in export	title/author	Against the Inquisition	Read	Book	2025-02-06	487722	30434535	B07D9TTLZN			original exact match retained		
Single Player	Tara Tai	2025-02-13	2025-02-13	no read audiobook in export; finish date missing/different	manual book-level pairing	Single Player	Read	Book	2025-02-14	1402075	31891140	B0DDMPYRK8			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1399
Hammajang Luck	Makana Yamamoto	2025-02-17	2025-02-16	no read audiobook in export; finish date missing/different	title/author	Hammajang Luck	Read	Book	2025-02-18	1231119	31755203	B0D5KV534V			original exact match retained		
Homeward	Angela Jackson-Brown	2025-02-23	2025-02-23	no read audiobook in export	title/author	Homeward	Read	Book	2025-02-23	880782	30899593	B0BZT7RB3P			original exact match retained		
The Other March Sisters	Linda Epstein, Liz Parker, Ally Malinenko	2025-02-28	2025-02-27	no read audiobook in export	manual book-level pairing	The Other March Sisters	Read	Book	2025-02-28	1594487	31913571	B0DVD1F88M			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1408
The Phoenix Empress	K. Arsenault Rivera	2025-03-02	2025-03-01	no read audiobook in export; finish date missing/different	title/author	The Phoenix Empress	Read	Book	2025-03-03	485005	31913557	B07HGDL75T			original exact match retained		
The Warrior Moon	K. Arsenault Rivera	2025-03-05	2025-03-02	no read audiobook in export	title/author	The Warrior Moon	Read	Book	2025-03-05	465387	31913589	B07Y8PV55W			original exact match retained		
House of Crimson Curses	Ruby Roe	2025-03-08	2025-03-07	no read audiobook in export	title/author	House of Crimson Curses	Read	Ebook	2025-03-08	1726588	31826802	B0DTBSRVNT			original exact match retained		
The Unbroken	C. L. Clark	2025-03-11	2025-03-11	no read audiobook in export; finish date missing/different	title/author	The Unbroken	Read	Book	2025-01-07	428981	15344711	1549133861			original exact match retained		
The Whispering Dark	Kelly Andrew	2025-03-13	2025-03-11	no read audiobook in export	title/author	The Whispering Dark	Read	Book	2025-03-13	513331	30465712	B0B5YM97FR			original exact match retained		
He Who Drowned the World	Shelley Parker-Chan	2025-06-30	2025-06-30	no read audiobook in export; finish date missing/different	title/author	He Who Drowned the World	Read	Book	2025-03-16	1029526	31053978	B0BXQ7L7G6	9781529043471		original exact match retained		
The Thousand Eyes	A. K. Larkwood	2025-03-19	2025-03-17	no read audiobook in export; finish date missing/different	identifier	The Thousand Eyes	Read	Book	2025-03-20	465272	32164686	1250807883			original exact match retained		
The Bruising of Qilwa	Naseem Jamnia	2025-03-19	2025-03-19	no read audiobook in export; finish date missing/different	title/author	The Bruising of Qilwa	Read	Book	2025-03-20	512321	30464615	B0BLJ29Y83			original exact match retained		
Fire Logic	Laurie J. Marks	2025-03-21	2025-03-19	no read audiobook in export	title/author	Fire Logic	Read	Book	2025-03-21	101571	17323921		9781931520393		original exact match retained		
Earth Logic Elemental Logic, Book 2 (Unabridged)	Laurie J. Marks	2025-03-23	2025-03-21	no read audiobook in export	manual book-level pairing	Earth Logic	Read	Book	2025-03-23	458071	30433057				paired manually	Earth Logic; author and Elemental Logic volume 2 agree.	2190
Tigana	Guy Gavriel Kay	2025-03-26	2025-03-23	no read audiobook in export; finish date missing/different	title/author	Tigana	Read	Book	2025-03-27	432215	14299413	198009036X			original exact match retained		
Dungeon Crawler Carl	Matt Dinniman	2025-03-27	2025-03-26	no read audiobook in export	title/author	Dungeon Crawler Carl	Read	Ebook	2025-03-27	446681	30407789	B08V8B2CGV			original exact match retained		
The Primal Hunter 10	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 10	Read	Ebook		1390898	31418098	B0DK41WV5K			original exact match retained		
The Primal Hunter 9: A LitRPG Adventure	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 9	Read	Ebook		1175710	31229730	B0D6H2N1YL			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1060
The Primal Hunter 8	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 8	Read	Ebook		1160718	31225984	B0CQYVL43H			original exact match retained		
The Primal Hunter 7 - A LitRPG Adventure	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 7	Read	Ebook		1093424	31229957	B0CLNJQQD7			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	1055
The Primal Hunter 6	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 6	Read	Book		1093426	31117444	B0CC6FHBQM			original exact match retained		
The Primal Hunter 5	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 5	Read	Book		638217	30616101	B0C34GCYVT			original exact match retained		
Primal Hunter 4	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	manual book-level pairing	The Primal Hunter 4	Read	Book		638200	30616085	B0BK9W82PQ			paired manually	Leading The omitted; Zogarth and volume 4 agree.	407
The Primal Hunter 3	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 3	Read	Book		995246	31019999	B0B6JM8KKV			original exact match retained		
The Primal Hunter 2	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter 2	Read	Book		587445	30554096	B09V5RZFDG			original exact match retained		
The Primal Hunter	Zogarth	2025-03-28	2025-03-28	no read audiobook in export; finish date missing/different	title/author	The Primal Hunter	Read	Book	2024-11-04	587435	30554086	B09MWP4277			original exact match retained		
The Primal Hunter 11	Zogarth	2025-03-29	2025-03-28	no read audiobook in export	title/author	The Primal Hunter 11	Read	Ebook	2025-03-29	1450207	31491621	B0DWG4J2SH			original exact match retained		
The Jewel and Her Lapidary	Fran Wilde	2025-03-29	2025-03-29	not marked read; no read audiobook in export; finish date missing/different	title/author	The Jewel and Her Lapidary	Want to Read	Book		439200	30423919	B01FG740UC			original exact match retained		
The Weaver and the Witch Queen	Genevieve Gornichec	2025-03-30	2025-03-29	no read audiobook in export	title/author	The Weaver and the Witch Queen	Read	Book	2025-03-30	770904	30772732	B0BLZS8KCT			original exact match retained		
A Broken Blade	Melissa Blair	2025-03-31	2025-03-30	no read audiobook in export; finish date missing/different	title/author	A Broken Blade	Read	Ebook	2025-04-01	531621	30486720	B0B3GB8FYT			original exact match retained		
A Shadow Crown	Melissa Blair	2025-04-02	2025-04-01	no read audiobook in export	title/author	A Shadow Crown	Read	Book	2025-04-02	713429	31756761	B0BV8ZH4MN			original exact match retained		
Bianca Torre Is Afraid of Everything	Justine Pucella Winans	2025-04-04	2025-04-03	no read audiobook in export	title/author	Bianca Torre Is Afraid of Everything	Read	Book	2025-04-04	454010	30408716	B0B7CQ7CLD			original exact match retained		
Afterlove	Tanya Byrne	2025-04-04	2025-04-04	no read audiobook in export; finish date missing/different	identifier	Afterlove	Read	Book	2025-04-05	451957	31938123	1444962469			original exact match retained		
You Exist Too Much	Zaina Arafat	2025-04-06	2025-04-05	no read audiobook in export	title/author	You Exist Too Much	Read	Book	2025-04-06	436333	21249776	1696601614			original exact match retained		
The Falling in Love Montage	Ciara Smyth	2025-04-08	2025-04-07	no read audiobook in export	title/author	The Falling in Love Montage	Read	Ebook	2025-04-08	441551	20420903	0063012553			original exact match retained		
Ophelia After All	Racquel Marie	2025-04-12	2025-04-11	no read audiobook in export; finish date missing/different	manual book-level pairing	Ophelia After All	Read	Book	2025-04-13	455367	31673825	B09JYKJ4VM			provisional pairing accepted	Inspected title, author where supplied, and series context; descriptive suffix or sparse export metadata.	2006
Mistakes Were Made	Meryl Wilsner	2025-04-17	2025-04-15	no read audiobook in export	title/author	Mistakes Were Made	Read	Book	2025-04-17	504004	30454215	B09Q74K9DR			original exact match retained		
To the Bone	Alena Bruzas	2025-04-28	2025-04-28	no read audiobook in export; finish date missing/different	title/author	To the Bone	Read	Book	2025-01-18	1463352	31507600	B0CQ8Y671Z			original exact match retained		
All the Bad Apples	Moïra Fowley-Doyle	2025-04-29	2025-04-28	no read audiobook in export; finish date missing/different	title/author	All the Bad Apples	Read	Book	2025-04-30	451272	5867129	059310613X			original exact match retained		
