title	author	abs_finished	abs_started	issues	match	hardcover_title	status	media	hardcover_finished	book_id	edition_id	asin	isbn	candidates	review_decision	review_note	export_record_numbers
The Jewel and Her Lapidary	Fran Wilde	2025-03-29	2025-03-29	not marked read; no read audiobook in export; finish date missing/different	title/author	The Jewel and Her Lapidary	Want to Read	Book		439200	30423919	B01FG740UC			original exact match retained		
Overgrowth	Mira Grant	2025-05-11	2025-05-10	not marked read; no read audiobook in export; finish date missing/different	title/author	Overgrowth	Want to Read	Ebook		1634509	31844326	B0DFR282FJ			original exact match retained		
Ruinsong	Julia Ember	2025-05-12	2025-05-11	not marked read; no read audiobook in export; finish date missing/different	title/author	Ruinsong	Want to Read	Book		40098	17580379	166205047X			original exact match retained		
Don't Let the Forest In	C.G. Drews	2025-05-13	2025-05-12	not marked read; no read audiobook in export; finish date missing/different	title/author	Don't Let the Forest In	Want to Read	Book		1043383	31067702	B0D9WL1F4T			original exact match retained		
Hell's Wardens	Pirateaba	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Hell's Wardens	Want to Read	Ebook		1576138	31901874	B0DCCZ5MG2			original exact match retained		
The Churn	James S. A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	The Churn	Want to Read	Book		431008	30448347	B09JB2RSL3			original exact match retained		
Gods of Risk	James S. A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Gods of Risk	Want to Read	Audio		430926	8582300	B09JB97WRH			original exact match retained		
Leviathan Falls	James S.A. Corey	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	identifier	The Extinction Trials	Want to Read	Audio		507206	32096578	1980035962	9781980035961		original exact match retained		
Soul Taken	Patricia Briggs	2025-05-19	2025-05-19	not marked read; no read audiobook in export; finish date missing/different	title/author	Soul Taken	Want to Read	Book		502017	30458465	0593553675			original exact match retained		
American Demon	Kim Harrison	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	American Demon	Want to Read	Book		459465	30397980	0593214137			original exact match retained		
A Damsel and a Demigod	Annette Marie	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	A Damsel and a Demigod	Want to Read	Ebook		460330	30411687	1705250521			original exact match retained		
Randomize	Andy Weir	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	Randomize	Want to Read	Ebook		427926	30390694	1978650817			original exact match retained		
The Forgetting Moon	Brian Lee Durfee	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	The Forgetting Moon	Want to Read	Book		445546	10712499	1980029768	9781980029762		original exact match retained		
Uncanny Collateral	Brian McClellan	2025-05-22	2025-05-22	not marked read; no read audiobook in export; finish date missing/different	title/author	Uncanny Collateral	Want to Read	Book		460264	30411615	B07PXN7N1T			original exact match retained		
Raven Stratagem	Yoon Ha Lee	2025-05-25	2025-05-25	not marked read; no read audiobook in export; finish date missing/different	title/author	Raven Stratagem	Want to Read	Book		430697	31534766	B072JV8KMX			original exact match retained		
Revenant Gun	Yoon Ha Lee	2025-05-25	2025-05-25	not marked read; no read audiobook in export; finish date missing/different	title/author	Revenant Gun	Want to Read	Book		459138	30400629	B07DLGK6LR			original exact match retained		
Hexarchate Stories	Yoon Ha Lee	2025-05-25	2025-05-25	not marked read; no read audiobook in export; finish date missing/different	title/author	Hexarchate Stories	Want to Read	Book		459137	30567068	198000661X			original exact match retained		
Alpha and Omega	Patricia Briggs	2025-06-27	2025-06-27	not marked read; no read audiobook in export; finish date missing/different	title/author	Alpha and Omega	Want to Read	Audio		467501	31020290	B00B0Z8HCW			original exact match retained		
The Masquerades of Spring	Ben Aaronovitch	2025-06-28	2025-06-28	not marked read; no read audiobook in export; finish date missing/different	title/author	The Masquerades of Spring	Want to Read	Book		1316100	31658021	B0DF84PR9C	9781541489868		original exact match retained		
Kraken	China Mieville	2025-07-22	2025-07-22	not marked read; no read audiobook in export; finish date missing/different	title/author	Kraken	Want to Read	Audio		295020	31094917	B003TPS0ZU			original exact match retained		
My Darling Dreadful Thing	Johanna van Veen	2025-10-18	2025-10-18	not marked read; no read audiobook in export; finish date missing/different	title/author	My Darling Dreadful Thing	Want to Read	Book		1049045	32089459	B0D6NKHWY2	9798765083529		original exact match retained		
House of Monstrous Women	Daphne Fama	2025-11-15	2025-11-15	not marked read; no read audiobook in export; finish date missing/different	title/author	House of Monstrous Women	Want to Read	Book		1718141	31816288	B0DNLK64NY	9798217074853		original exact match retained		
The Woods All Black	Lee Mandelo	2026-01-23	2026-01-23	not marked read; no read audiobook in export; finish date missing/different	title/author	The Woods All Black	Want to Read	Ebook		1070615	31094693	B0DT2DBKZT			original exact match retained		
Dead Silence	S.A. Barnes	2026-09-10	2026-09-09	not marked read; no read audiobook in export; finish date missing/different	identifier	Dead Silence	Currently Reading	Audio		475184	32143561	1250841348	9781250841346		original exact match retained		
